TRANSACTIONID;ACCOUNTID;ACCOUNTTYPEID;CUSTOMERID;CUSTOMERTYPEID;PRODUCTID;PRODUCTCATEGORYID;PROFITCENTERID;VERSION;DATE;VALUE
179;FPA1/022;INC;USCU-P-008;Z1;MZ-FG-P010;RB;Z_LOG_PC7;Actual;20191001;477,39
180;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20180401;163835,96
181;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20180501;62678,75
182;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20180601;37026,44
183;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20180701;18392,22
184;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20180801;126809,52
185;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20180901;79376,95
186;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20181001;42592,51
187;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20181101;57838,69
188;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20181201;26862,32
189;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20190101;11616,14
190;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20190201;315329,78
191;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20190301;194570,33
192;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20190401;203151,89
193;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20190501;77719,85
194;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20190601;45911,73
195;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20190701;22805,83
196;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20190801;157240,17
197;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20190901;98425,14
198;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20191001;52813,49
199;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20191101;71718,32
200;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20191201;33308,51
201;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20200101;14403,68
202;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20200201;390999,88
203;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20200301;241261,63
204;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20200401;355960
205;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20200501;91080
206;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C900;CR;US10_PCC3L;Actual;20200601;90200
207;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20180401;68682,07
208;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20180501;39352,97
209;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20180601;15592,69
210;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20180701;105807,52
211;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20180801;168920,77
212;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20180901;116202,64
213;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20181001;195651,09
214;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20181101;39352,97
215;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20181201;45664,3
216;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20190101;18933,98
217;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20190201;156669,38
218;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20190301;121400,2
219;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20190401;85163,8
220;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20190501;48796,56
221;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20190601;19334,48
222;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20190701;131198,29
223;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20190801;209456,91
224;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20190901;144087,94
225;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20191001;242601,74
226;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20191101;48796,56
227;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20191201;56622,42
228;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20200101;23477,59
229;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20200201;194265,53
230;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20200301;150532,77
231;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20200401;173475
232;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20200501;71550
233;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C950;CR;US10_PCC2L;Actual;20200601;29025
234;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20180401;26453,12
235;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20180501;95341,44
236;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20180601;63928,37
237;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20180701;198398,38
238;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20180801;189580,67
239;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20180901;200051,7
240;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20181001;82665,99
241;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20181101;139981,08
242;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20181201;52355,13
243;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20190101;43537,42
244;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20190201;344992,73
245;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20190301;217687,11
246;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20190401;32801,11
247;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20190501;118220,65
248;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20190601;79269,34
249;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20190701;246008,29
250;FPA1/022;INC;USCU_L01;Z2;MZ-FG-C990;CR;US10_PCC1L;Actual;20190801;235074,59
