production_order_id,product_id,machine_id,production_date,planned_quantity,actual_quantity,production_status,start_time,end_time
PRD0000025,CM-FL-V00,MC021,2026-02-04,119,6,Cancelled,2026-02-04 22:30:00,2026-02-05 01:30:00
PRD0000026,CM-FL-V00,MC012,2025-04-15,36,36,Completed,2025-04-15 14:30:00,2025-04-15 17:30:00
PRD0000027,MZ-FG-E103,MC020,2025-01-31,36,33,Completed,2025-01-31 05:30:00,2025-01-31 07:30:00
PRD0000028,MZ-TG-A27,MC028,2025-10-19,69,64,Completed,2025-10-19 02:30:00,2025-10-19 12:30:00
PRD0000029,CM-FL-V00,MC027,2025-07-23,55,49,Completed,2025-07-23 20:45:00,2025-07-23 23:45:00
PRD0000030,MZ-TG-A20,MC029,2026-06-06,52,52,Completed,2026-06-06 06:30:00,2026-06-06 10:30:00
PRD0000031,MZ-FG-R300,MC025,2025-01-22,44,39,Completed,2025-01-22 23:45:00,2025-01-23 10:45:00
PRD0000032,MZ-FG-M525,MC034,2026-02-03,14,13,Completed,2026-02-03 07:45:00,2026-02-03 12:45:00
PRD0000033,MZ-FG-M525,MC002,2026-06-10,64,15,Cancelled,2026-06-10 03:30:00,2026-06-10 06:30:00
PRD0000034,MZ-FG-E102,MC040,2026-04-10,93,80,Completed,2026-04-10 21:30:00,2026-04-11 03:30:00
PRD0000035,MZ-FG-C900,MC033,2025-02-22,33,33,Completed,2025-02-22 02:00:00,2025-02-22 07:00:00
PRD0000036,MZ-FG-C20,MC003,2025-07-06,102,98,Completed,2025-07-06 08:00:00,2025-07-06 10:00:00
PRD0000037,MZ-TG-A20,MC022,2025-02-28,60,58,Completed,2025-02-28 06:00:00,2025-02-28 08:00:00
PRD0000038,MZ-FG-E16,MC028,2025-01-18,42,38,Completed,2025-01-18 03:45:00,2025-01-18 08:45:00
PRD0000039,MZ-FG-R300,MC030,2025-07-31,148,146,Completed,2025-07-31 04:00:00,2025-07-31 10:00:00
PRD0000040,MZ-TG-Y200,MC003,2025-02-19,63,56,Completed,2025-02-19 08:30:00,2025-02-19 13:30:00
PRD0000041,MZ-TG-A26,MC023,2026-03-31,83,35,In Progress,2026-03-31 17:30:00,2026-04-01 07:30:00
PRD0000042,FG226,MC049,2026-04-22,209,196,Completed,2026-04-22 18:15:00,2026-04-23 00:15:00
PRD0000043,MZ-FG-P010,MC010,2025-12-12,29,27,Delayed,2025-12-12 23:00:00,2025-12-14 00:00:00
PRD0000044,MZ-FG-E108,MC007,2025-01-27,68,66,Completed,2025-01-27 13:30:00,2025-01-27 19:30:00
PRD0000045,MZ-TG-A26,MC028,2025-02-09,25,24,Completed,2025-02-09 23:00:00,2025-02-10 14:00:00
PRD0000046,MZ-TG-E202,MC043,2025-08-23,130,123,Delayed,2025-08-23 01:00:00,2025-08-23 04:00:00
PRD0000047,MZ-FG-E101,MC014,2026-01-17,80,77,Completed,2026-01-17 21:00:00,2026-01-18 02:00:00
PRD0000048,MZ-FG-E17,MC003,2026-03-09,34,7,Cancelled,2026-03-09 03:30:00,2026-03-09 12:30:00
PRD0000049,MZ-FG-M500,MC015,2025-05-28,17,16,Completed,2025-05-28 21:45:00,2025-05-29 00:45:00
PRD0000050,MZ-FG-C10,MC011,2025-04-27,36,8,In Progress,2025-04-27 20:30:00,2025-04-27 21:30:00
PRD0000051,MZ-FG-M550,MC047,2025-03-29,65,35,In Progress,2025-03-29 04:00:00,2025-03-29 07:00:00
PRD0000052,TG11,MC027,2025-02-03,68,62,Completed,2025-02-03 23:30:00,2025-02-04 04:30:00
PRD0000053,MZ-FG-E16,MC040,2025-02-07,33,31,Completed,2025-02-07 07:00:00,2025-02-07 12:00:00
PRD0000054,MZ-FG-M525,MC026,2026-01-02,63,43,In Progress,2026-01-02 07:15:00,2026-01-02 10:15:00
PRD0000055,MZ-FG-P010,MC040,2025-03-02,149,90,In Progress,2025-03-02 23:15:00,2025-03-03 04:15:00
PRD0000056,MZ-TG-A26,MC015,2026-04-29,50,45,Delayed,2026-04-29 19:30:00,2026-04-29 23:30:00
PRD0000057,MZ-FG-C990,MC006,2025-09-07,76,70,Completed,2025-09-07 00:30:00,2025-09-07 06:30:00
PRD0000058,MZ-FG-R300,MC001,2026-03-06,62,19,In Progress,2026-03-06 13:45:00,2026-03-07 07:45:00
PRD0000059,MZ-TG-A27,MC027,2026-02-04,68,66,Completed,2026-02-04 18:45:00,2026-02-05 02:45:00
PRD0000060,M-01,MC028,2025-02-28,31,13,In Progress,2025-02-28 12:45:00,2025-03-01 12:45:00
PRD0000061,MZ-TG-Y200,MC048,2026-03-09,34,34,Completed,2026-03-09 13:15:00,2026-03-09 19:15:00
PRD0000062,MZ-TG-A26,MC046,2025-06-12,366,289,In Progress,2025-06-12 15:00:00,2025-06-12 22:00:00
PRD0000063,MZ-FG-E108,MC009,2025-06-27,36,36,Completed,2025-06-27 16:45:00,2025-06-27 19:45:00
PRD0000064,MZ-FG-C10,MC032,2025-02-12,111,105,Completed,2025-02-12 16:30:00,2025-02-12 18:30:00
PRD0000065,MZ-TG-Y120,MC049,2026-02-02,40,18,In Progress,2026-02-02 11:15:00,2026-02-03 01:15:00
PRD0000066,MZ-FG-C20,MC041,2025-03-04,130,123,Completed,2025-03-04 05:30:00,2025-03-04 08:30:00
PRD0000067,MZ-TG-A25,MC012,2025-12-18,74,0,Scheduled,2025-12-18 15:30:00,2025-12-18 19:30:00
PRD0000068,MZ-FG-C20,MC002,2025-03-23,72,68,Completed,2025-03-23 22:30:00,2025-03-24 13:30:00
PRD0000069,MZ-TG-A20,MC040,2026-01-22,23,23,Delayed,2026-01-22 21:30:00,2026-01-22 23:30:00
PRD0000070,MZ-FG-E103,MC047,2025-08-21,83,83,Completed,2025-08-21 10:45:00,2025-08-21 17:45:00
PRD0000071,MZ-TG-A26,MC024,2025-04-17,52,49,Delayed,2025-04-17 15:15:00,2025-04-17 22:15:00
PRD0000072,MZ-TG-SR01,MC033,2025-06-15,160,120,In Progress,2025-06-15 21:15:00,2025-06-16 02:15:00
PRD0000073,TG11,MC021,2025-03-11,87,82,Completed,2025-03-11 07:45:00,2025-03-11 10:45:00
PRD0000074,MZ-FG-M550,MC003,2026-04-03,27,25,Completed,2026-04-03 23:15:00,2026-04-04 07:15:00
PRD0000075,MZ-FG-P010,MC030,2025-11-18,71,71,Completed,2025-11-18 21:15:00,2025-11-19 04:15:00
PRD0000076,MZ-TG-A26,MC022,2025-08-05,39,39,Completed,2025-08-05 04:45:00,2025-08-05 09:45:00
PRD0000077,MZ-TG-A20,MC004,2025-10-27,18,18,Completed,2025-10-27 13:45:00,2025-10-27 17:45:00
PRD0000078,FG226,MC006,2026-04-23,45,43,Completed,2026-04-23 02:30:00,2026-04-23 09:30:00
PRD0000079,MZ-FG-R100,MC041,2026-06-15,26,24,Completed,2026-06-15 05:15:00,2026-06-15 11:15:00
PRD0000080,MZ-FG-M500,MC016,2025-06-28,118,110,Completed,2025-06-28 19:30:00,2025-06-28 23:30:00
PRD0000081,MZ-FG-E15,MC036,2026-03-12,110,109,Delayed,2026-03-12 10:00:00,2026-03-12 16:00:00
PRD0000082,M-01,MC003,2025-07-27,34,34,Completed,2025-07-27 04:45:00,2025-07-27 09:45:00
PRD0000083,MZ-FG-R300,MC009,2026-01-08,56,54,Completed,2026-01-08 06:00:00,2026-01-08 12:00:00
PRD0000084,MZ-FG-R200,MC001,2025-12-03,89,85,Completed,2025-12-03 23:30:00,2025-12-04 00:30:00
PRD0000085,MZ-FG-C10,MC047,2026-06-18,43,41,Completed,2026-06-18 00:00:00,2026-06-18 06:00:00
PRD0000086,MZ-TG-A26,MC022,2025-01-28,35,32,Completed,2025-01-28 04:45:00,2025-01-28 11:45:00
PRD0000087,FG226,MC032,2026-05-11,85,76,Completed,2026-05-11 11:30:00,2026-05-11 16:30:00
PRD0000088,MZ-FG-E103,MC030,2025-03-23,33,32,Completed,2025-03-23 19:30:00,2025-03-23 23:30:00
PRD0000089,MZ-FG-M550,MC032,2025-07-01,21,21,Delayed,2025-07-01 12:30:00,2025-07-01 19:30:00
PRD0000090,MZ-FG-E102,MC015,2025-10-13,41,15,In Progress,2025-10-13 15:00:00,2025-10-13 18:00:00
PRD0000091,MZ-TG-SR01,MC037,2026-02-15,28,24,Delayed,2026-02-15 02:30:00,2026-02-15 06:30:00
PRD0000092,MZ-FG-P010,MC045,2025-06-12,46,44,Completed,2025-06-12 16:45:00,2025-06-12 23:45:00
PRD0000093,MZ-FG-M525,MC050,2025-06-26,253,253,Delayed,2025-06-26 15:00:00,2025-06-26 20:00:00
PRD0000094,MZ-FG-R100,MC042,2025-01-08,20,19,Completed,2025-01-08 06:15:00,2025-01-08 21:15:00
PRD0000095,MZ-FG-R300,MC001,2026-05-29,84,77,Completed,2026-05-29 04:00:00,2026-05-29 06:00:00
PRD0000096,MZ-FG-E108,MC050,2026-03-25,41,41,Completed,2026-03-25 17:45:00,2026-03-26 01:45:00
PRD0000097,MZ-FG-M550,MC042,2025-03-06,21,19,Completed,2025-03-06 05:30:00,2025-03-06 07:30:00
PRD0000098,M-01,MC036,2025-01-06,55,52,Completed,2025-01-06 02:15:00,2025-01-06 15:15:00
PRD0000099,MZ-FG-C990,MC016,2025-07-03,73,71,Completed,2025-07-03 15:15:00,2025-07-03 19:15:00
PRD0000100,MZ-FG-R200,MC025,2026-01-09,95,0,Scheduled,2026-01-09 03:30:00,2026-01-09 08:30:00
PRD0000101,MZ-TG-SR01,MC021,2025-02-21,154,146,Completed,2025-02-21 11:15:00,2025-02-21 20:15:00
PRD0000102,MZ-TG-Y240,MC018,2025-04-20,90,56,In Progress,2025-04-20 03:15:00,2025-04-20 19:15:00
PRD0000103,MZ-TG-Y200,MC034,2026-04-21,70,69,Delayed,2026-04-21 13:30:00,2026-04-21 15:30:00
PRD0000104,MZ-FG-C21,MC018,2025-03-12,38,35,Completed,2025-03-12 23:15:00,2025-03-13 06:15:00
PRD0000105,MZ-TG-A26,MC004,2025-03-23,84,83,Completed,2025-03-23 10:00:00,2025-03-23 13:00:00
PRD0000106,MZ-FG-M550,MC047,2026-04-20,114,113,Completed,2026-04-20 16:00:00,2026-04-20 22:00:00
PRD0000107,FG226,MC017,2025-06-14,27,26,Completed,2025-06-14 10:00:00,2025-06-14 17:00:00
PRD0000108,MZ-FG-M500,MC004,2026-06-08,106,99,Completed,2026-06-08 10:15:00,2026-06-08 15:15:00
PRD0000109,MZ-TG-A27,MC014,2025-04-07,34,33,Delayed,2025-04-07 03:00:00,2025-04-07 08:00:00
PRD0000110,MZ-FG-R300,MC032,2025-03-27,52,33,In Progress,2025-03-27 18:45:00,2025-03-27 22:45:00
PRD0000111,CM-FL-V00,MC044,2026-04-04,30,30,Delayed,2026-04-04 05:00:00,2026-04-04 14:00:00
PRD0000112,MZ-FG-M525,MC012,2025-01-29,63,63,Completed,2025-01-29 23:45:00,2025-01-30 07:45:00
PRD0000113,MZ-FG-M525,MC030,2025-02-17,80,80,Completed,2025-02-17 03:00:00,2025-02-17 17:00:00
PRD0000114,MZ-FG-C900,MC027,2026-02-10,114,112,Completed,2026-02-10 06:30:00,2026-02-10 14:30:00
PRD0000115,MZ-FG-E108,MC008,2026-05-29,66,66,Completed,2026-05-29 18:15:00,2026-05-29 23:15:00
PRD0000116,MZ-FG-R200,MC041,2026-06-03,63,59,Delayed,2026-06-03 02:45:00,2026-06-03 07:45:00
PRD0000117,MZ-TG-Y200,MC013,2026-06-26,61,58,Completed,2026-06-26 06:45:00,2026-06-26 19:45:00
PRD0000118,MZ-FG-C20,MC019,2025-11-28,36,33,Completed,2025-11-28 00:30:00,2025-11-28 05:30:00
PRD0000119,MZ-FG-P010,MC037,2026-06-13,9,7,Completed,2026-06-13 00:45:00,2026-06-13 13:45:00
PRD0000120,MZ-TG-Y120,MC020,2026-01-05,174,174,Completed,2026-01-05 07:30:00,2026-01-05 14:30:00
PRD0000121,MZ-FG-E101,MC040,2026-02-20,46,44,Completed,2026-02-20 03:00:00,2026-02-20 06:00:00
PRD0000122,MZ-FG-E108,MC026,2025-05-30,197,192,Completed,2025-05-30 22:15:00,2025-05-31 06:15:00
PRD0000123,M-01,MC012,2026-05-23,18,17,Completed,2026-05-23 21:30:00,2026-05-24 06:30:00
PRD0000124,MZ-FG-P010,MC008,2025-11-10,42,40,Completed,2025-11-10 20:30:00,2025-11-10 22:30:00
PRD0000125,MZ-FG-E16,MC004,2025-11-13,30,20,In Progress,2025-11-13 00:00:00,2025-11-13 10:00:00
PRD0000126,MZ-FG-C20,MC005,2025-07-14,55,49,Completed,2025-07-14 07:15:00,2025-07-14 10:15:00
PRD0000127,MZ-TG-E202,MC039,2025-05-19,96,96,Delayed,2025-05-19 10:15:00,2025-05-19 19:15:00
PRD0000128,MZ-FG-M500,MC041,2025-11-05,72,62,Completed,2025-11-05 18:00:00,2025-11-05 22:00:00
PRD0000129,MZ-FG-C20,MC030,2025-11-05,22,21,Delayed,2025-11-05 10:30:00,2025-11-05 15:30:00
PRD0000130,FG226,MC036,2026-05-08,97,97,Completed,2026-05-08 11:30:00,2026-05-08 21:30:00
PRD0000131,MZ-FG-M500,MC035,2025-07-01,69,69,Completed,2025-07-01 12:30:00,2025-07-01 17:30:00
PRD0000132,MZ-FG-R100,MC029,2025-11-25,101,95,Completed,2025-11-25 18:45:00,2025-11-26 01:45:00
PRD0000133,CM-FL-V00,MC031,2025-11-26,102,29,In Progress,2025-11-26 06:30:00,2025-11-26 14:30:00
PRD0000134,MZ-FG-P010,MC046,2026-06-22,68,37,In Progress,2026-06-22 19:45:00,2026-06-23 04:45:00
PRD0000135,MZ-FG-E17,MC027,2026-06-10,269,58,Cancelled,2026-06-10 19:30:00,2026-06-11 00:30:00
PRD0000136,MZ-FG-E108,MC013,2025-04-10,111,38,In Progress,2025-04-10 17:45:00,2025-04-10 20:45:00
PRD0000137,MZ-TG-Y200,MC041,2026-06-15,151,145,Delayed,2026-06-15 06:15:00,2026-06-15 09:15:00
PRD0000138,MZ-FG-C900,MC030,2025-10-06,59,57,Completed,2025-10-06 20:45:00,2025-10-07 04:45:00
PRD0000139,MZ-FG-M525,MC004,2026-06-24,72,71,Completed,2026-06-24 01:30:00,2026-06-24 06:30:00
PRD0000140,MZ-FG-C10,MC012,2025-03-03,67,60,Completed,2025-03-03 09:45:00,2025-03-03 11:45:00
PRD0000141,MZ-TG-Y120,MC028,2025-04-15,47,45,Completed,2025-04-15 20:30:00,2025-04-15 22:30:00
PRD0000142,MZ-FG-R200,MC040,2025-10-12,111,108,Completed,2025-10-12 02:30:00,2025-10-12 06:30:00
PRD0000143,MZ-TG-A27,MC030,2025-05-13,66,1,Cancelled,2025-05-13 07:15:00,2025-05-13 12:15:00
PRD0000144,M-01,MC023,2026-01-08,44,44,Completed,2026-01-08 12:00:00,2026-01-08 23:00:00
PRD0000145,MZ-FG-C990,MC006,2025-12-11,61,59,Completed,2025-12-11 04:45:00,2025-12-11 12:45:00
PRD0000146,MZ-FG-M500,MC024,2025-12-14,101,100,Completed,2025-12-14 12:00:00,2025-12-14 17:00:00
PRD0000147,MZ-FG-R300,MC029,2025-09-23,130,0,Scheduled,2025-09-23 07:45:00,2025-09-23 16:45:00
PRD0000148,M1,MC027,2025-12-28,37,34,Completed,2025-12-28 10:30:00,2025-12-28 13:30:00
PRD0000149,M-01,MC001,2025-09-27,22,20,Completed,2025-09-27 10:15:00,2025-09-27 22:15:00
PRD0000150,MZ-FG-C21,MC004,2026-05-06,60,36,In Progress,2026-05-06 03:30:00,2026-05-06 09:30:00
PRD0000151,MZ-TG-A25,MC010,2025-08-29,9,8,Completed,2025-08-29 17:30:00,2025-08-29 20:30:00
PRD0000152,FG226,MC028,2025-11-24,143,143,Completed,2025-11-24 07:30:00,2025-11-24 13:30:00
PRD0000153,MZ-TG-SR01,MC045,2026-05-24,93,91,Completed,2026-05-24 05:45:00,2026-05-24 09:45:00
PRD0000154,MZ-FG-E15,MC028,2025-06-08,139,139,Completed,2025-06-08 18:15:00,2025-06-09 04:15:00
PRD0000155,MZ-FG-E15,MC044,2025-09-28,103,100,Completed,2025-09-28 16:45:00,2025-09-28 20:45:00
PRD0000156,MZ-TG-A27,MC038,2025-11-24,95,89,Completed,2025-11-24 19:00:00,2025-11-25 00:00:00
PRD0000157,MZ-FG-M550,MC021,2026-02-09,45,34,In Progress,2026-02-09 17:30:00,2026-02-09 20:30:00
PRD0000158,CM-FL-V00,MC021,2025-03-15,81,76,Completed,2025-03-15 03:30:00,2025-03-15 08:30:00
PRD0000159,MZ-FG-E108,MC034,2026-01-11,81,74,Completed,2026-01-11 16:15:00,2026-01-11 21:15:00
PRD0000160,MZ-TG-Y120,MC019,2026-04-03,114,106,Completed,2026-04-03 23:00:00,2026-04-04 05:00:00
PRD0000161,MZ-FG-C950,MC005,2026-06-22,148,148,Completed,2026-06-22 13:30:00,2026-06-22 17:30:00
PRD0000162,MZ-FG-R300,MC039,2026-02-15,76,49,In Progress,2026-02-15 09:45:00,2026-02-15 14:45:00
PRD0000163,MZ-FG-M550,MC001,2025-11-30,67,62,Delayed,2025-11-30 00:30:00,2025-11-30 06:30:00
PRD0000164,MZ-FG-C900,MC017,2025-12-06,36,34,Completed,2025-12-06 20:00:00,2025-12-07 05:00:00
PRD0000165,MZ-TG-E202,MC047,2025-05-21,94,92,Completed,2025-05-21 10:30:00,2025-05-21 14:30:00
PRD0000166,MZ-FG-C21,MC037,2026-04-25,77,18,In Progress,2026-04-25 13:45:00,2026-04-25 18:45:00
PRD0000167,MZ-TG-SR01,MC021,2026-05-11,54,50,Completed,2026-05-11 22:15:00,2026-05-12 02:15:00
PRD0000168,MZ-FG-R200,MC020,2025-12-20,48,47,Completed,2025-12-20 16:30:00,2025-12-20 20:30:00
PRD0000169,MZ-FG-M550,MC038,2025-06-18,37,28,In Progress,2025-06-18 00:45:00,2025-06-18 01:45:00
PRD0000170,MZ-FG-E102,MC040,2025-08-04,43,43,Completed,2025-08-04 05:45:00,2025-08-04 08:45:00
PRD0000171,MZ-FG-M525,MC013,2026-03-13,102,30,In Progress,2026-03-13 07:15:00,2026-03-13 16:15:00
PRD0000172,MZ-FG-E101,MC004,2026-01-28,63,62,Delayed,2026-01-28 18:45:00,2026-01-29 00:45:00
PRD0000173,MZ-TG-Y120,MC045,2025-11-15,389,379,Completed,2025-11-15 20:00:00,2025-11-16 02:00:00
PRD0000174,CM-FL-V00,MC037,2025-06-04,55,52,Completed,2025-06-04 17:30:00,2025-06-05 02:30:00
PRD0000175,MZ-TG-Y120,MC049,2025-09-02,55,55,Completed,2025-09-02 06:00:00,2025-09-02 07:00:00
PRD0000176,MZ-FG-C990,MC008,2026-01-27,91,91,Completed,2026-01-27 04:00:00,2026-01-27 19:00:00
PRD0000177,MZ-TG-Y200,MC031,2025-03-23,63,23,In Progress,2025-03-23 23:15:00,2025-03-24 03:15:00
PRD0000178,MZ-FG-C900,MC002,2025-09-01,55,53,Delayed,2025-09-01 03:15:00,2025-09-01 16:15:00
PRD0000179,MZ-TG-Y240,MC020,2026-02-27,31,27,Completed,2026-02-27 18:45:00,2026-02-27 23:45:00
PRD0000180,MZ-TG-A26,MC012,2025-08-12,29,28,Completed,2025-08-12 10:00:00,2025-08-12 19:00:00
PRD0000181,MZ-FG-C10,MC039,2026-05-31,79,72,Completed,2026-05-31 23:15:00,2026-06-01 01:15:00
PRD0000182,MZ-FG-M525,MC026,2026-06-21,79,73,Completed,2026-06-21 12:15:00,2026-06-21 14:15:00
PRD0000183,MZ-FG-E101,MC046,2026-04-15,147,105,In Progress,2026-04-15 17:30:00,2026-04-15 22:30:00
PRD0000184,MZ-TG-A26,MC016,2025-06-11,95,89,Completed,2025-06-11 18:45:00,2025-06-11 22:45:00
PRD0000185,MZ-TG-A27,MC015,2025-09-16,41,26,In Progress,2025-09-16 23:30:00,2025-09-17 05:30:00
PRD0000186,MZ-FG-C21,MC047,2025-10-05,38,38,Completed,2025-10-05 08:00:00,2025-10-05 14:00:00
PRD0000187,MZ-FG-E108,MC042,2025-11-30,55,54,Completed,2025-11-30 20:45:00,2025-12-01 06:45:00
PRD0000188,MZ-TG-Y240,MC044,2025-12-23,100,0,Scheduled,2025-12-23 07:00:00,2025-12-23 15:00:00
PRD0000189,M-01,MC027,2025-10-24,47,47,Completed,2025-10-24 21:45:00,2025-10-25 01:45:00
PRD0000190,MZ-TG-Y200,MC019,2025-01-03,37,7,Cancelled,2025-01-03 01:00:00,2025-01-03 15:00:00
PRD0000191,MZ-TG-Y200,MC004,2025-01-13,41,31,In Progress,2025-01-13 18:00:00,2025-01-13 21:00:00
PRD0000192,MZ-TG-SR01,MC004,2025-08-29,41,39,Completed,2025-08-29 20:15:00,2025-08-29 23:15:00
PRD0000193,MZ-FG-E102,MC009,2026-05-29,26,23,Completed,2026-05-29 11:45:00,2026-05-29 16:45:00
PRD0000194,MZ-FG-C21,MC019,2025-12-24,113,72,In Progress,2025-12-24 22:30:00,2025-12-25 00:30:00
PRD0000195,MZ-FG-R100,MC014,2025-07-16,64,63,Completed,2025-07-16 21:45:00,2025-07-17 06:45:00
PRD0000196,TG11,MC008,2026-04-30,100,100,Completed,2026-04-30 09:00:00,2026-04-30 20:00:00
PRD0000197,MZ-TG-A27,MC043,2025-05-23,30,28,Completed,2025-05-23 09:30:00,2025-05-23 19:30:00
PRD0000198,MZ-FG-M525,MC034,2026-04-04,193,184,Completed,2026-04-04 09:00:00,2026-04-04 19:00:00
PRD0000199,M1,MC036,2025-12-17,22,21,Completed,2025-12-17 07:45:00,2025-12-17 10:45:00
PRD0000200,TG11,MC032,2025-03-03,33,12,In Progress,2025-03-03 14:45:00,2025-03-03 17:45:00
PRD0000201,MZ-FG-E17,MC005,2025-08-24,117,110,Completed,2025-08-24 02:00:00,2025-08-24 03:00:00
PRD0000202,MZ-FG-C950,MC030,2025-01-07,32,12,In Progress,2025-01-07 06:00:00,2025-01-07 10:00:00
PRD0000203,MZ-FG-M525,MC028,2026-03-02,120,60,In Progress,2026-03-02 08:15:00,2026-03-03 01:15:00
PRD0000204,MZ-TG-E202,MC044,2025-07-01,32,28,Delayed,2025-07-01 13:45:00,2025-07-01 22:45:00
PRD0000205,MZ-FG-E101,MC019,2026-03-04,42,39,Completed,2026-03-04 20:45:00,2026-03-04 23:45:00
PRD0000206,MZ-FG-C950,MC011,2025-08-10,110,102,Completed,2025-08-10 00:30:00,2025-08-10 15:30:00
PRD0000207,MZ-TG-A25,MC046,2025-02-19,145,145,Completed,2025-02-19 14:45:00,2025-02-19 18:45:00
PRD0000208,MZ-FG-E108,MC005,2025-04-27,313,248,In Progress,2025-04-27 22:15:00,2025-04-28 01:15:00
PRD0000209,M1,MC031,2025-03-24,42,20,In Progress,2025-03-24 22:30:00,2025-03-25 03:30:00
PRD0000210,MZ-FG-C21,MC017,2025-10-02,64,62,Completed,2025-10-02 17:30:00,2025-10-03 02:30:00
PRD0000211,MZ-TG-Y200,MC044,2025-04-15,48,47,Completed,2025-04-15 14:45:00,2025-04-15 19:45:00
PRD0000212,MZ-TG-Y200,MC043,2025-04-28,64,60,Delayed,2025-04-28 21:00:00,2025-04-29 06:00:00
PRD0000213,MZ-FG-E103,MC036,2025-06-16,80,75,Completed,2025-06-16 01:15:00,2025-06-16 07:15:00
PRD0000214,MZ-FG-E102,MC012,2026-04-26,31,31,Delayed,2026-04-26 08:45:00,2026-04-27 02:45:00
PRD0000215,MZ-TG-A26,MC035,2025-05-04,68,68,Completed,2025-05-04 19:00:00,2025-05-05 03:00:00
PRD0000216,MZ-FG-E108,MC013,2025-05-07,58,54,Completed,2025-05-07 07:30:00,2025-05-07 15:30:00
PRD0000217,MZ-FG-C21,MC034,2025-07-10,29,28,Completed,2025-07-10 08:45:00,2025-07-10 16:45:00
PRD0000218,MZ-FG-E101,MC004,2026-06-26,37,34,Completed,2026-06-26 06:45:00,2026-06-26 10:45:00
PRD0000219,MZ-FG-M525,MC043,2025-02-19,73,70,Completed,2025-02-19 19:15:00,2025-02-20 03:15:00
PRD0000220,MZ-FG-M550,MC026,2025-08-18,161,151,Completed,2025-08-18 16:45:00,2025-08-19 02:45:00
PRD0000221,MZ-FG-E103,MC013,2025-05-25,65,61,Completed,2025-05-25 16:15:00,2025-05-25 20:15:00
PRD0000222,MZ-FG-R300,MC050,2025-02-09,28,27,Completed,2025-02-09 11:45:00,2025-02-09 13:45:00
PRD0000223,MZ-FG-E103,MC050,2025-12-17,14,7,In Progress,2025-12-17 16:45:00,2025-12-18 00:45:00
PRD0000224,MZ-FG-M525,MC011,2025-10-12,42,41,Completed,2025-10-12 18:30:00,2025-10-12 20:30:00
