po_item_id,po_id,material_id,quantity,unit_price,total_value,delivery_status
POI00000111,PO0000055,MAT00071,35,194.52,6808.2,Delivered
POI00000112,PO0000056,MAT00109,11,470.08,5170.88,Pending
POI00000113,PO0000056,MAT00124,9,144.35,1299.15,Delivered
POI00000114,PO0000057,MAT00206,27,817.63,22076.01,Delivered
POI00000115,PO0000057,MAT00206,18,720.35,12966.3,Delivered
POI00000116,PO0000057,MAT00215,25,142.1,3552.5,Delivered
POI00000117,PO0000058,MAT00204,10,1308.02,13080.2,Delivered
POI00000118,PO0000059,MAT00056,35,75.86,2655.1,Delivered
POI00000119,PO0000059,MAT00067,25,573.02,14325.5,Delivered
POI00000120,PO0000060,MAT00210,16,374.27,5988.32,Pending
POI00000121,PO0000061,MAT00230,9,397.71,3579.39,Pending
POI00000122,PO0000062,MAT00189,9,112.71,1014.39,Pending
POI00000123,PO0000063,MAT00204,9,1482.76,13344.84,Delivered
POI00000124,PO0000064,MAT00073,26,516.49,13428.74,Delivered
POI00000125,PO0000064,MAT00070,13,130.67,1698.71,Delivered
POI00000126,PO0000065,MAT00050,48,128.45,6165.6,Partially Delivered
POI00000127,PO0000065,MAT00032,36,73.55,2647.8,Cancelled
POI00000128,PO0000065,MAT00045,30,249.5,7485.0,Pending
POI00000129,PO0000065,MAT00030,25,233.3,5832.5,Cancelled
POI00000130,PO0000066,MAT00266,10,472.6,4726.0,Delivered
POI00000131,PO0000067,MAT00055,11,10.67,117.37,Delivered
POI00000132,PO0000067,MAT00057,16,168.31,2692.96,Delivered
POI00000133,PO0000067,MAT00062,30,78.22,2346.6,Delivered
POI00000134,PO0000068,MAT00279,13,381.57,4960.41,Delivered
POI00000135,PO0000068,MAT00288,50,904.09,45204.5,Delivered
POI00000136,PO0000069,MAT00173,25,300.36,7509.0,Delivered
POI00000137,PO0000069,MAT00164,8,114.16,913.28,Delivered
POI00000138,PO0000070,MAT00043,46,239.24,11005.04,Delivered
POI00000139,PO0000070,MAT00043,10,264.96,2649.6,Delivered
POI00000140,PO0000071,MAT00019,18,372.49,6704.82,Delivered
POI00000141,PO0000071,MAT00019,223,335.46,74807.58,Delivered
POI00000142,PO0000071,MAT00002,16,114.64,1834.24,Delivered
POI00000143,PO0000071,MAT00019,40,319.45,12778.0,Delivered
POI00000144,PO0000072,MAT00201,89,142.5,12682.5,Delivered
POI00000145,PO0000072,MAT00201,21,162.65,3415.65,Delivered
POI00000146,PO0000072,MAT00201,80,147.27,11781.6,Delivered
POI00000147,PO0000073,MAT00106,2,126.79,253.58,Pending
POI00000148,PO0000073,MAT00107,86,764.73,65766.78,Pending
POI00000149,PO0000074,MAT00070,5,151.72,758.6,Delivered
POI00000150,PO0000074,MAT00053,37,820.4,30354.8,Delivered
POI00000151,PO0000074,MAT00071,13,200.76,2609.88,Delivered
POI00000152,PO0000075,MAT00158,27,1204.1,32510.7,Pending
POI00000153,PO0000075,MAT00028,18,119.2,2145.6,Cancelled
POI00000154,PO0000076,MAT00046,4,415.44,1661.76,Delivered
POI00000155,PO0000076,MAT00046,6,483.93,2903.58,Delivered
POI00000156,PO0000076,MAT00038,4,785.71,3142.84,Delivered
POI00000157,PO0000076,MAT00046,16,462.84,7405.44,Delivered
POI00000158,PO0000077,MAT00008,71,105.6,7497.6,Delivered
POI00000159,PO0000078,MAT00119,8,158.64,1269.12,Pending
POI00000160,PO0000078,MAT00119,68,131.56,8946.08,Delivered
POI00000161,PO0000079,MAT00051,21,68.41,1436.61,Pending
POI00000162,PO0000080,MAT00089,35,480.27,16809.45,Delivered
POI00000163,PO0000080,MAT00089,9,488.96,4400.64,Delivered
POI00000164,PO0000081,MAT00042,40,55.36,2214.4,Delivered
POI00000165,PO0000081,MAT00048,18,205.66,3701.88,Delivered
POI00000166,PO0000082,MAT00059,31,88.19,2733.89,Pending
POI00000167,PO0000082,MAT00059,24,89.3,2143.2,Pending
POI00000168,PO0000082,MAT00059,30,87.57,2627.1,Pending
POI00000169,PO0000083,MAT00041,21,2611.35,54838.35,Delivered
POI00000170,PO0000084,MAT00249,14,320.07,4480.98,Delivered
POI00000171,PO0000085,MAT00010,18,135.86,2445.48,Delivered
POI00000172,PO0000086,MAT00025,19,223.0,4237.0,Delivered
POI00000173,PO0000086,MAT00011,5,49.01,245.05,Delivered
POI00000174,PO0000086,MAT00022,44,122.62,5395.28,Delivered
POI00000175,PO0000087,MAT00002,3,104.31,312.93,Delivered
POI00000176,PO0000087,MAT00002,136,113.07,15377.52,Delivered
POI00000177,PO0000087,MAT00002,11,122.67,1349.37,Delivered
POI00000178,PO0000088,MAT00203,15,63.43,951.45,Pending
POI00000179,PO0000088,MAT00213,53,285.19,15115.07,Delivered
POI00000180,PO0000089,MAT00095,89,27.31,2430.59,Delivered
POI00000181,PO0000089,MAT00096,52,275.65,14333.8,Delivered
POI00000182,PO0000090,MAT00153,39,172.34,6721.26,Delivered
POI00000183,PO0000090,MAT00156,16,162.77,2604.32,Delivered
POI00000184,PO0000091,MAT00124,78,143.58,11199.24,Delivered
POI00000185,PO0000091,MAT00103,17,78.38,1332.46,Delivered
POI00000186,PO0000092,MAT00123,23,445.99,10257.77,Delivered
POI00000187,PO0000092,MAT00120,25,82.32,2058.0,Delivered
POI00000188,PO0000092,MAT00105,27,49.11,1325.97,Delivered
POI00000189,PO0000093,MAT00168,12,91.33,1095.96,Delivered
POI00000190,PO0000093,MAT00144,53,101.81,5395.93,Delivered
POI00000191,PO0000094,MAT00038,1,839.75,839.75,Delivered
POI00000192,PO0000094,MAT00046,5,445.34,2226.7,Delivered
POI00000193,PO0000094,MAT00041,21,2369.59,49761.39,Delivered
POI00000194,PO0000094,MAT00038,59,847.16,49982.44,Delivered
POI00000195,PO0000095,MAT00221,24,128.07,3073.68,Pending
POI00000196,PO0000095,MAT00205,10,162.2,1622.0,Cancelled
POI00000197,PO0000096,MAT00038,4,826.03,3304.12,Delivered
POI00000198,PO0000096,MAT00218,5,66.79,333.95,Delivered
POI00000199,PO0000096,MAT00257,26,483.83,12579.58,Delivered
POI00000200,PO0000097,MAT00199,117,492.99,57679.83,Delivered
POI00000201,PO0000097,MAT00183,68,17.21,1170.28,Delivered
POI00000202,PO0000097,MAT00184,21,472.82,9929.22,Delivered
POI00000203,PO0000098,MAT00253,3,107.14,321.42,Delivered
POI00000204,PO0000098,MAT00272,23,1094.59,25175.57,Delivered
POI00000205,PO0000098,MAT00265,35,742.07,25972.45,Delivered
POI00000206,PO0000099,MAT00272,53,1307.1,69276.3,Delivered
POI00000207,PO0000099,MAT00162,8,2503.08,20024.64,Delivered
POI00000208,PO0000100,MAT00249,3,299.81,899.43,Delivered
POI00000209,PO0000100,MAT00250,28,2975.92,83325.76,Delivered
POI00000210,PO0000100,MAT00246,6,319.54,1917.24,Delivered
POI00000211,PO0000100,MAT00244,21,191.97,4031.37,Delivered
POI00000212,PO0000101,MAT00175,40,1524.78,60991.2,Delivered
POI00000213,PO0000101,MAT00161,12,337.96,4055.52,Pending
POI00000214,PO0000102,MAT00201,24,130.62,3134.88,Delivered
POI00000215,PO0000102,MAT00201,12,155.31,1863.72,Delivered
POI00000216,PO0000103,MAT00103,33,93.07,3071.31,Pending
POI00000217,PO0000103,MAT00109,8,471.07,3768.56,Cancelled
POI00000218,PO0000104,MAT00223,4,239.07,956.28,Delivered
POI00000219,PO0000104,MAT00205,38,129.95,4938.1,Delivered
POI00000220,PO0000105,MAT00046,10,451.86,4518.6,Delivered
POI00000221,PO0000105,MAT00038,19,800.81,15215.39,Delivered
POI00000222,PO0000106,MAT00164,98,103.68,10160.64,Pending
POI00000223,PO0000107,MAT00009,6,496.78,2980.68,Delivered
POI00000224,PO0000107,MAT00005,14,258.15,3614.1,Pending
POI00000225,PO0000108,MAT00195,40,148.18,5927.2,Delivered
POI00000226,PO0000108,MAT00198,87,861.33,74935.71,Delivered
POI00000227,PO0000109,MAT00266,16,508.68,8138.88,Pending
POI00000228,PO0000109,MAT00267,8,920.21,7361.68,Delivered
POI00000229,PO0000110,MAT00262,41,778.55,31920.55,Delivered
POI00000230,PO0000110,MAT00262,33,702.39,23178.87,Delivered
POI00000231,PO0000111,MAT00100,4,1052.3,4209.2,Partially Delivered
POI00000232,PO0000112,MAT00125,10,50.63,506.3,Delivered
POI00000233,PO0000113,MAT00246,11,283.01,3113.11,Delivered
POI00000234,PO0000114,MAT00017,21,418.01,8778.21,Pending
POI00000235,PO0000114,MAT00022,17,103.44,1758.48,Pending
POI00000236,PO0000114,MAT00015,14,55.26,773.64,Cancelled
POI00000237,PO0000115,MAT00268,58,159.28,9238.24,Delivered
POI00000238,PO0000116,MAT00219,32,87.04,2785.28,Delivered
POI00000239,PO0000116,MAT00137,9,290.28,2612.52,Delivered
POI00000240,PO0000116,MAT00299,9,92.91,836.19,Delivered
POI00000241,PO0000116,MAT00051,41,75.3,3087.3,Delivered
POI00000242,PO0000117,MAT00250,14,2801.12,39215.68,Delivered
POI00000243,PO0000117,MAT00246,37,336.56,12452.72,Delivered
POI00000244,PO0000117,MAT00244,135,200.05,27006.75,Delivered
POI00000245,PO0000118,MAT00282,60,211.67,12700.2,Cancelled
POI00000246,PO0000118,MAT00293,96,168.63,16188.48,Pending
POI00000247,PO0000119,MAT00028,47,112.68,5295.96,Delivered
POI00000248,PO0000119,MAT00033,45,104.24,4690.8,Delivered
POI00000249,PO0000120,MAT00171,30,508.34,15250.2,Delivered
POI00000250,PO0000121,MAT00003,10,1576.91,15769.1,Delivered
POI00000251,PO0000121,MAT00010,12,141.08,1692.96,Delivered
POI00000252,PO0000122,MAT00077,62,514.79,31916.98,Delivered
POI00000253,PO0000122,MAT00084,31,180.59,5598.29,Delivered
POI00000254,PO0000122,MAT00100,21,982.91,20641.11,Delivered
POI00000255,PO0000123,MAT00240,48,565.44,27141.12,Delivered
POI00000256,PO0000123,MAT00240,18,576.16,10370.88,Delivered
POI00000257,PO0000123,MAT00240,27,578.8,15627.6,Delivered
POI00000258,PO0000123,MAT00245,14,86.04,1204.56,Delivered
POI00000259,PO0000124,MAT00210,7,322.87,2260.09,Delivered
POI00000260,PO0000125,MAT00240,246,553.41,136138.86,Delivered
POI00000261,PO0000126,MAT00186,15,249.41,3741.15,Pending
POI00000262,PO0000127,MAT00217,26,146.48,3808.48,Delivered
POI00000263,PO0000127,MAT00217,17,145.38,2471.46,Delivered
POI00000264,PO0000128,MAT00132,71,118.06,8382.26,Delivered
POI00000265,PO0000129,MAT00042,5,50.43,252.15,Delivered
POI00000266,PO0000129,MAT00048,12,227.41,2728.92,Delivered
POI00000267,PO0000130,MAT00186,53,234.04,12404.12,Delivered
POI00000268,PO0000130,MAT00186,33,277.36,9152.88,Delivered
POI00000269,PO0000131,MAT00144,16,89.88,1438.08,Delivered
POI00000270,PO0000132,MAT00150,2,228.17,456.34,Delivered
POI00000271,PO0000133,MAT00118,7,679.59,4757.13,Delivered
POI00000272,PO0000134,MAT00059,2,84.62,169.24,Delivered
POI00000273,PO0000134,MAT00059,7,103.95,727.65,Delivered
POI00000274,PO0000134,MAT00059,114,90.95,10368.3,Delivered
POI00000275,PO0000134,MAT00059,11,83.59,919.49,Delivered
POI00000276,PO0000135,MAT00038,31,688.94,21357.14,Delivered
POI00000277,PO0000135,MAT00041,6,2840.95,17045.7,Delivered
POI00000278,PO0000136,MAT00018,147,320.09,47053.23,Delivered
POI00000279,PO0000136,MAT00003,47,1494.37,70235.39,Delivered
POI00000280,PO0000137,MAT00240,6,591.54,3549.24,Delivered
POI00000281,PO0000138,MAT00184,27,466.42,12593.34,Delivered
POI00000282,PO0000139,MAT00206,14,695.03,9730.42,Delivered
POI00000283,PO0000139,MAT00215,4,129.73,518.92,Delivered
POI00000284,PO0000139,MAT00215,98,150.62,14760.76,Delivered
POI00000285,PO0000139,MAT00206,13,710.85,9241.05,Delivered
POI00000286,PO0000140,MAT00185,5,199.16,995.8,Pending
POI00000287,PO0000140,MAT00179,20,80.13,1602.6,Pending
POI00000288,PO0000140,MAT00192,9,184.84,1663.56,Partially Delivered
POI00000289,PO0000141,MAT00087,23,318.18,7318.14,Delivered
POI00000290,PO0000141,MAT00086,19,101.53,1929.07,Pending
POI00000291,PO0000141,MAT00081,55,107.71,5924.05,Partially Delivered
POI00000292,PO0000142,MAT00252,6,855.29,5131.74,Pending
POI00000293,PO0000142,MAT00275,145,266.62,38659.9,Delivered
POI00000294,PO0000142,MAT00252,6,842.3,5053.8,Pending
POI00000295,PO0000142,MAT00275,17,291.87,4961.79,Pending
POI00000296,PO0000143,MAT00037,26,450.62,11716.12,Pending
POI00000297,PO0000144,MAT00044,7,503.96,3527.72,Delivered
POI00000298,PO0000144,MAT00159,21,571.48,12001.08,Delivered
POI00000299,PO0000144,MAT00177,69,264.99,18284.31,Delivered
POI00000300,PO0000145,MAT00152,34,293.8,9989.2,Delivered
POI00000301,PO0000145,MAT00157,10,34.48,344.8,Delivered
POI00000302,PO0000145,MAT00167,142,143.83,20423.86,Delivered
POI00000303,PO0000146,MAT00158,23,1232.07,28337.61,Cancelled
POI00000304,PO0000146,MAT00158,132,1491.22,196841.04,Pending
POI00000305,PO0000147,MAT00082,53,160.97,8531.41,Delivered
POI00000306,PO0000147,MAT00100,45,1022.47,46011.15,Delivered
POI00000307,PO0000147,MAT00077,30,444.93,13347.9,Delivered
POI00000308,PO0000148,MAT00267,27,810.05,21871.35,Delivered
POI00000309,PO0000148,MAT00266,41,435.82,17868.62,Delivered
POI00000310,PO0000149,MAT00055,9,10.39,93.51,Delivered
POI00000311,PO0000149,MAT00161,7,345.22,2416.54,Delivered
POI00000312,PO0000150,MAT00295,39,103.71,4044.69,Delivered
POI00000313,PO0000150,MAT00292,15,121.88,1828.2,Delivered
POI00000314,PO0000151,MAT00160,22,502.2,11048.4,Partially Delivered
POI00000315,PO0000151,MAT00174,4,298.24,1192.96,Partially Delivered
POI00000316,PO0000152,MAT00272,13,1323.81,17209.53,Partially Delivered
POI00000317,PO0000152,MAT00253,62,114.76,7115.12,Delivered
POI00000318,PO0000152,MAT00261,13,2918.54,37941.02,Pending
POI00000319,PO0000153,MAT00216,17,127.35,2164.95,Delivered
POI00000320,PO0000153,MAT00212,26,45.41,1180.66,Delivered
POI00000321,PO0000153,MAT00218,3,60.82,182.46,Delivered
POI00000322,PO0000154,MAT00219,18,98.61,1774.98,Delivered
POI00000323,PO0000154,MAT00222,10,253.63,2536.3,Delivered
POI00000324,PO0000155,MAT00186,7,271.82,1902.74,Delivered
POI00000325,PO0000155,MAT00186,54,245.01,13230.54,Delivered
POI00000326,PO0000156,MAT00210,3,391.7,1175.1,Delivered
POI00000327,PO0000156,MAT00210,225,362.68,81603.0,Delivered
POI00000328,PO0000157,MAT00004,24,226.98,5447.52,Delivered
POI00000329,PO0000157,MAT00295,19,90.49,1719.31,Delivered
POI00000330,PO0000157,MAT00065,28,130.23,3646.44,Delivered
POI00000331,PO0000157,MAT00001,1,67.79,67.79,Delivered
POI00000332,PO0000158,MAT00093,34,584.83,19884.22,Delivered
POI00000333,PO0000158,MAT00093,52,559.88,29113.76,Delivered
POI00000334,PO0000158,MAT00093,3,577.9,1733.7,Delivered
POI00000335,PO0000158,MAT00093,15,538.95,8084.25,Delivered
POI00000336,PO0000159,MAT00271,13,184.92,2403.96,Delivered
POI00000337,PO0000159,MAT00257,13,485.63,6313.19,Partially Delivered
POI00000338,PO0000159,MAT00269,6,289.03,1734.18,Pending
POI00000339,PO0000159,MAT00267,2,813.13,1626.26,Delivered
POI00000340,PO0000160,MAT00187,30,304.46,9133.8,Pending
POI00000341,PO0000160,MAT00200,20,70.19,1403.8,Pending
POI00000342,PO0000161,MAT00245,13,99.28,1290.64,Delivered
POI00000343,PO0000161,MAT00240,12,579.66,6955.92,Delivered
POI00000344,PO0000161,MAT00240,8,590.06,4720.48,Delivered
POI00000345,PO0000162,MAT00297,23,212.52,4887.96,Delivered
POI00000346,PO0000163,MAT00159,70,545.83,38208.1,Delivered
POI00000347,PO0000163,MAT00164,15,107.81,1617.15,Delivered
POI00000348,PO0000164,MAT00186,27,237.88,6422.76,Delivered
POI00000349,PO0000164,MAT00186,7,247.75,1734.25,Delivered
POI00000350,PO0000165,MAT00184,18,561.49,10106.82,Delivered
POI00000351,PO0000165,MAT00199,1,440.48,440.48,Delivered
POI00000352,PO0000166,MAT00002,33,124.48,4107.84,Delivered
POI00000353,PO0000167,MAT00071,83,208.29,17288.07,Delivered
POI00000354,PO0000167,MAT00070,11,130.0,1430.0,Delivered
POI00000355,PO0000168,MAT00155,31,624.6,19362.6,Partially Delivered
POI00000356,PO0000169,MAT00216,129,122.37,15785.73,Partially Delivered
POI00000357,PO0000170,MAT00009,28,450.6,12616.8,Delivered
POI00000358,PO0000170,MAT00005,36,298.13,10732.68,Delivered
POI00000359,PO0000171,MAT00119,93,148.63,13822.59,Delivered
POI00000360,PO0000171,MAT00119,18,149.77,2695.86,Delivered
POI00000361,PO0000172,MAT00237,19,821.29,15604.51,Delivered
POI00000362,PO0000173,MAT00224,38,1559.55,59262.9,Delivered
POI00000363,PO0000173,MAT00219,233,108.14,25196.62,Delivered
POI00000364,PO0000173,MAT00222,4,231.97,927.88,Delivered
POI00000365,PO0000174,MAT00159,4,555.99,2223.96,Delivered
POI00000366,PO0000174,MAT00168,86,89.86,7727.96,Delivered
POI00000367,PO0000175,MAT00201,17,144.84,2462.28,Delivered
POI00000368,PO0000175,MAT00201,47,146.08,6865.76,Cancelled
POI00000369,PO0000176,MAT00202,37,55.52,2054.24,Delivered
POI00000370,PO0000176,MAT00211,75,319.1,23932.5,Delivered
POI00000371,PO0000177,MAT00300,24,421.04,10104.96,Delivered
POI00000372,PO0000177,MAT00039,17,203.11,3452.87,Delivered
POI00000373,PO0000178,MAT00283,13,59.12,768.56,Pending
POI00000374,PO0000178,MAT00277,10,1148.01,11480.1,Delivered
POI00000375,PO0000178,MAT00282,4,201.2,804.8,Pending
POI00000376,PO0000179,MAT00058,12,61.58,738.96,Delivered
POI00000377,PO0000179,MAT00052,20,649.12,12982.4,Delivered
POI00000378,PO0000180,MAT00272,16,1222.65,19562.4,Partially Delivered
POI00000379,PO0000181,MAT00073,18,517.41,9313.38,Delivered
POI00000380,PO0000181,MAT00070,38,140.48,5338.24,Delivered
POI00000381,PO0000181,MAT00071,23,184.43,4241.89,Partially Delivered
POI00000382,PO0000182,MAT00013,18,116.45,2096.1,Delivered
POI00000383,PO0000182,MAT00016,24,580.44,13930.56,Delivered
POI00000384,PO0000182,MAT00016,162,585.35,94826.7,Delivered
POI00000385,PO0000183,MAT00012,13,421.64,5481.32,Delivered
POI00000386,PO0000184,MAT00219,40,90.12,3604.8,Pending
POI00000387,PO0000184,MAT00224,3,1562.41,4687.23,Delivered
POI00000388,PO0000185,MAT00192,39,179.34,6994.26,Cancelled
POI00000389,PO0000186,MAT00130,43,80.32,3453.76,Partially Delivered
POI00000390,PO0000186,MAT00145,206,227.6,46885.6,Delivered
POI00000391,PO0000186,MAT00146,7,262.53,1837.71,Partially Delivered
POI00000392,PO0000187,MAT00010,34,144.36,4908.24,Delivered
POI00000393,PO0000187,MAT00003,29,1599.08,46373.32,Delivered
POI00000394,PO0000187,MAT00008,5,111.8,559.0,Delivered
POI00000395,PO0000188,MAT00001,19,66.9,1271.1,Delivered
POI00000396,PO0000188,MAT00021,22,88.86,1954.92,Delivered
POI00000397,PO0000189,MAT00221,18,150.33,2705.94,Delivered
POI00000398,PO0000190,MAT00296,12,70.82,849.84,Delivered
POI00000399,PO0000190,MAT00283,14,58.72,822.08,Delivered
POI00000400,PO0000190,MAT00282,22,238.38,5244.36,Delivered
POI00000401,PO0000190,MAT00300,102,511.7,52193.4,Delivered
POI00000402,PO0000191,MAT00142,37,399.9,14796.3,Cancelled
POI00000403,PO0000191,MAT00149,18,20.81,374.58,Pending
POI00000404,PO0000191,MAT00150,41,207.73,8516.93,Partially Delivered
POI00000405,PO0000192,MAT00116,16,490.79,7852.64,Pending
POI00000406,PO0000192,MAT00117,12,145.52,1746.24,Partially Delivered
POI00000407,PO0000193,MAT00226,36,56.43,2031.48,Delivered
POI00000408,PO0000194,MAT00194,38,864.12,32836.56,Delivered
POI00000409,PO0000195,MAT00047,48,125.0,6000.0,Delivered
