po_id,supplier_id,po_date,expected_delivery_date,actual_delivery_date,po_status,total_amount
PO0000027,SUP0057,2025-02-08,2025-03-27,2025-03-25,Completed,6219.25
PO0000028,SUP0014,2025-05-08,2025-05-27,2025-05-25,Completed,217689.51
PO0000029,SUP0003,2025-12-12,2026-01-15,2026-01-10,Completed,7907.27
PO0000030,SUP0069,2026-05-26,2026-06-30,2026-06-29,Completed,1432.2
PO0000031,SUP0097,2026-04-13,2026-04-27,,In Progress,5151.08
PO0000032,SUP0050,2025-03-31,2025-04-14,2025-04-19,Delayed,6568.64
PO0000033,SUP0092,2025-07-31,2025-08-17,,In Progress,849.95
PO0000034,SUP0087,2026-02-19,2026-03-01,2026-03-03,Completed,8424.45
PO0000035,SUP0074,2026-02-18,2026-03-23,2026-03-26,Completed,24643.8
PO0000036,SUP0076,2026-02-23,2026-03-13,,In Progress,36176.14
PO0000037,SUP0042,2026-02-12,2026-03-12,2026-03-12,Completed,38897.04
PO0000038,SUP0024,2025-07-02,2025-08-02,,In Progress,36142.49
PO0000039,SUP0025,2025-02-22,2025-03-23,2025-04-04,Delayed,3157.72
PO0000040,SUP0029,2025-12-20,2026-01-14,2026-01-09,Completed,1756.35
PO0000041,SUP0028,2026-01-28,2026-02-20,,In Progress,21871.5
PO0000042,SUP0050,2025-08-19,2025-09-14,2025-09-12,Completed,45443.37
PO0000043,SUP0065,2025-03-04,2025-03-26,2025-03-21,Completed,69945.04
PO0000044,SUP0004,2026-05-31,2026-06-21,,In Progress,353.34
PO0000045,SUP0015,2025-12-20,2026-01-19,2026-01-27,Completed,163.63
PO0000046,SUP0017,2026-04-05,2026-04-19,2026-04-26,Delayed,2782.02
PO0000047,SUP0032,2025-01-07,2025-01-31,2025-01-28,Completed,17378.1
PO0000048,SUP0029,2025-05-08,2025-06-01,2025-06-01,Completed,4357.98
PO0000049,SUP0054,2025-07-25,2025-08-27,2025-08-30,Completed,25768.18
PO0000050,SUP0014,2025-01-16,2025-02-11,2025-02-11,Completed,27738.98
PO0000051,SUP0015,2025-12-03,2026-01-08,2026-01-08,Completed,13715.17
PO0000052,SUP0069,2025-05-18,2025-06-27,2025-06-22,Completed,297.06
PO0000053,SUP0020,2025-09-06,2025-10-18,2025-10-16,Completed,3913.45
PO0000054,SUP0006,2025-04-03,2025-04-17,2025-04-17,Completed,4613.28
PO0000055,SUP0090,2025-10-07,2025-10-20,,In Progress,6808.2
PO0000056,SUP0010,2026-05-09,2026-06-08,2026-06-15,Delayed,6470.03
PO0000057,SUP0041,2025-08-17,2025-09-06,2025-09-07,Completed,38594.81
PO0000058,SUP0027,2026-05-02,2026-05-17,,Pending Approval,13080.2
PO0000059,SUP0020,2025-10-20,2025-11-11,2025-11-11,Completed,16980.6
PO0000060,SUP0057,2025-11-03,2025-11-26,2025-12-13,Delayed,5988.32
PO0000061,SUP0040,2026-05-14,2026-06-23,,In Progress,3579.39
PO0000062,SUP0079,2026-03-15,2026-04-14,2026-05-03,Delayed,1014.39
PO0000063,SUP0074,2025-03-14,2025-04-10,2025-04-05,Completed,13344.84
PO0000064,SUP0090,2025-06-07,2025-07-05,2025-07-09,Completed,15127.45
PO0000065,SUP0004,2025-04-21,2025-05-09,,In Progress,22130.9
PO0000066,SUP0082,2025-04-01,2025-04-24,,In Progress,4726.0
PO0000067,SUP0084,2025-08-25,2025-08-30,2025-08-26,Completed,5156.93
PO0000068,SUP0026,2025-03-03,2025-03-08,2025-03-08,Completed,50164.91
PO0000069,SUP0063,2026-04-19,2026-05-12,2026-05-12,Completed,8422.28
PO0000070,SUP0009,2025-12-17,2026-01-06,2026-01-10,Completed,13654.64
PO0000071,SUP0089,2025-10-01,2025-10-13,2025-10-13,Completed,96124.64
PO0000072,SUP0015,2025-11-26,2025-12-26,2025-12-26,Completed,27879.75
PO0000073,SUP0047,2025-04-14,2025-05-08,,In Progress,66020.36
PO0000074,SUP0090,2026-04-04,2026-04-20,2026-04-19,Completed,33723.28
PO0000075,SUP0027,2025-08-31,2025-10-02,,In Progress,34656.3
PO0000076,SUP0024,2026-01-19,2026-01-24,2026-01-24,Completed,15113.62
PO0000077,SUP0056,2025-09-03,2025-09-22,,In Progress,7497.6
PO0000078,SUP0038,2025-02-19,2025-03-15,,Cancelled,10215.2
PO0000079,SUP0039,2025-05-14,2025-06-25,,In Progress,1436.61
PO0000080,SUP0028,2025-05-24,2025-06-13,2025-06-18,Completed,21210.09
PO0000081,SUP0083,2025-07-14,2025-08-19,2025-08-19,Completed,5916.28
PO0000082,SUP0064,2026-02-02,2026-02-27,,In Progress,7504.19
PO0000083,SUP0024,2025-09-18,2025-10-14,,In Progress,54838.35
PO0000084,SUP0014,2026-01-07,2026-01-23,2026-01-25,Completed,4480.98
PO0000085,SUP0056,2025-11-12,2025-11-30,2025-11-30,Completed,2445.48
PO0000086,SUP0033,2025-04-08,2025-04-13,2025-04-10,Completed,9877.33
PO0000087,SUP0089,2026-02-07,2026-03-09,2026-03-05,Completed,17039.82
PO0000088,SUP0074,2026-03-26,2026-04-23,2026-05-13,Delayed,16066.52
PO0000089,SUP0061,2025-04-20,2025-05-09,2025-05-12,Completed,16764.39
PO0000090,SUP0092,2026-05-14,2026-06-20,2026-06-20,Completed,9325.58
PO0000091,SUP0010,2025-10-22,2025-11-15,2025-11-15,Completed,12531.7
PO0000092,SUP0093,2025-07-30,2025-08-23,2025-08-27,Completed,13641.74
PO0000093,SUP0012,2026-03-13,2026-05-02,2026-04-27,Completed,6491.89
PO0000094,SUP0024,2026-01-03,2026-01-17,2026-01-22,Completed,102810.28
PO0000095,SUP0034,2025-12-05,2025-12-18,,Cancelled,4695.68
PO0000096,SUP0012,2025-11-26,2025-12-07,2025-12-15,Completed,16217.65
PO0000097,SUP0081,2025-12-31,2026-01-22,2026-01-21,Completed,68779.33
PO0000098,SUP0016,2026-03-01,2026-03-20,2026-03-22,Completed,51469.44
PO0000099,SUP0002,2025-03-27,2025-04-09,2025-04-16,Completed,89300.94
PO0000100,SUP0014,2025-07-25,2025-08-26,2025-08-26,Completed,90173.8
PO0000101,SUP0032,2025-02-13,2025-03-04,2025-03-08,Delayed,65046.72
PO0000102,SUP0015,2025-04-12,2025-05-08,2025-05-12,Completed,4998.6
PO0000103,SUP0010,2026-05-29,2026-06-30,2026-06-30,Delayed,6839.87
PO0000104,SUP0034,2025-10-12,2025-11-21,2025-11-25,Completed,5894.38
PO0000105,SUP0024,2025-06-22,2025-07-17,2025-07-30,Delayed,19733.99
PO0000106,SUP0063,2026-02-25,2026-04-03,,Cancelled,10160.64
PO0000107,SUP0091,2026-02-21,2026-03-14,2026-03-31,Delayed,6594.78
PO0000108,SUP0048,2025-07-28,2025-08-25,2025-08-29,Completed,80862.91
PO0000109,SUP0082,2026-05-12,2026-06-12,,In Progress,15500.56
PO0000110,SUP0067,2025-06-08,2025-06-26,2025-06-21,Completed,55099.42
PO0000111,SUP0075,2025-07-02,2025-08-01,2025-08-07,Delayed,4209.2
PO0000112,SUP0010,2026-03-31,2026-04-26,2026-04-29,Completed,506.3
PO0000113,SUP0014,2025-05-06,2025-05-31,2025-05-30,Completed,3113.11
PO0000114,SUP0033,2026-05-30,2026-06-30,,In Progress,11310.33
PO0000115,SUP0051,2025-08-25,2025-09-28,2025-09-23,Completed,9238.24
PO0000116,SUP0002,2025-09-05,2025-09-14,2025-09-14,Completed,9321.29
PO0000117,SUP0014,2026-02-05,2026-03-01,2026-03-01,Completed,78675.15
PO0000118,SUP0002,2025-03-15,2025-04-17,2025-05-03,Delayed,28888.68
PO0000119,SUP0005,2025-03-07,2025-04-21,2025-04-17,Completed,9986.76
PO0000120,SUP0085,2025-04-16,2025-05-10,2025-05-10,Completed,15250.2
PO0000121,SUP0056,2025-01-23,2025-02-19,2025-02-15,Completed,17462.06
PO0000122,SUP0075,2025-11-25,2025-12-24,2025-12-24,Completed,58156.38
PO0000123,SUP0086,2026-03-12,2026-04-26,2026-04-27,Completed,54344.16
PO0000124,SUP0057,2025-04-01,2025-04-18,2025-04-13,Completed,2260.09
PO0000125,SUP0002,2025-03-02,2025-03-26,2025-03-24,Completed,136138.86
PO0000126,SUP0035,2025-09-16,2025-10-06,,In Progress,3741.15
PO0000127,SUP0069,2025-11-02,2025-11-30,2025-11-30,Completed,6279.94
PO0000128,SUP0058,2025-11-11,2025-12-07,2025-12-12,Completed,8382.26
PO0000129,SUP0083,2026-02-12,2026-03-13,2026-03-23,Completed,2981.07
PO0000130,SUP0035,2025-11-17,2025-12-13,2025-12-12,Completed,21557.0
PO0000131,SUP0006,2025-08-10,2025-08-20,2025-08-15,Completed,1438.08
PO0000132,SUP0054,2025-12-05,2026-01-08,2026-01-10,Completed,456.34
PO0000133,SUP0058,2025-10-17,2025-11-10,,Cancelled,4757.13
PO0000134,SUP0064,2026-01-01,2026-01-23,2026-01-20,Completed,12184.68
PO0000135,SUP0024,2025-04-22,2025-05-15,2025-05-15,Completed,38402.84
PO0000136,SUP0056,2026-05-06,2026-05-11,2026-05-13,Completed,117288.62
PO0000137,SUP0086,2025-09-30,2025-10-05,2025-10-06,Completed,3549.24
PO0000138,SUP0081,2026-02-21,2026-03-17,2026-03-18,Completed,12593.34
PO0000139,SUP0041,2025-11-25,2025-12-13,2025-12-19,Completed,34251.15
PO0000140,SUP0080,2026-03-25,2026-04-26,2026-05-14,Delayed,4261.96
PO0000141,SUP0094,2025-09-21,2025-10-22,2025-11-06,Delayed,15171.26
PO0000142,SUP0100,2026-02-17,2026-03-12,,In Progress,53807.23
PO0000143,SUP0005,2025-01-22,2025-02-15,2025-02-18,Delayed,11716.12
PO0000144,SUP0022,2025-10-25,2025-11-27,2025-12-02,Completed,33813.11
PO0000145,SUP0045,2025-11-24,2026-01-02,2026-01-02,Completed,30757.86
PO0000146,SUP0077,2026-03-27,2026-04-21,,Cancelled,225178.65
PO0000147,SUP0075,2025-01-08,2025-02-05,2025-02-04,Completed,67890.46
PO0000148,SUP0082,2025-09-13,2025-09-30,2025-09-30,Completed,39739.97
PO0000149,SUP0039,2025-01-10,2025-02-08,2025-02-10,Completed,2510.05
PO0000150,SUP0065,2025-06-26,2025-07-20,2025-07-18,Completed,5872.89
PO0000151,SUP0092,2025-05-14,2025-06-12,,In Progress,12241.36
PO0000152,SUP0016,2026-04-09,2026-05-08,,Cancelled,62265.67
PO0000153,SUP0044,2025-09-19,2025-10-04,2025-10-07,Completed,3528.07
PO0000154,SUP0030,2025-01-30,2025-03-03,2025-03-08,Delayed,4311.28
PO0000155,SUP0035,2025-09-27,2025-10-21,2025-10-16,Completed,15133.28
PO0000156,SUP0057,2026-05-29,2026-06-10,,In Progress,82778.1
PO0000157,SUP0022,2025-04-05,2025-05-04,2025-05-02,Completed,10881.06
PO0000158,SUP0070,2025-05-19,2025-06-10,2025-06-06,Completed,58815.93
PO0000159,SUP0082,2026-01-04,2026-02-06,2026-02-11,Delayed,12077.59
PO0000160,SUP0048,2026-04-04,2026-04-10,2026-04-15,Delayed,10537.6
PO0000161,SUP0086,2026-05-08,2026-06-01,2026-06-02,Completed,12967.04
PO0000162,SUP0097,2025-04-23,2025-05-24,2025-05-25,Completed,4887.96
PO0000163,SUP0063,2026-03-02,2026-03-14,2026-03-13,Completed,39825.25
PO0000164,SUP0035,2025-03-04,2025-03-21,2025-03-17,Completed,8157.01
PO0000165,SUP0081,2026-04-14,2026-04-21,2026-04-22,Completed,10547.3
PO0000166,SUP0089,2025-12-23,2026-01-28,2026-01-26,Completed,4107.84
PO0000167,SUP0090,2025-01-20,2025-02-21,2025-02-23,Completed,18718.07
PO0000168,SUP0032,2025-07-07,2025-07-22,,In Progress,19362.6
PO0000169,SUP0044,2025-04-05,2025-04-28,2025-05-15,Delayed,15785.73
PO0000170,SUP0091,2025-01-14,2025-02-08,2025-02-10,Completed,23349.48
PO0000171,SUP0038,2025-06-14,2025-07-10,2025-07-05,Completed,16518.45
PO0000172,SUP0055,2026-01-21,2026-03-05,,In Progress,15604.51
PO0000173,SUP0030,2025-09-02,2025-09-30,2025-09-27,Completed,85387.4
PO0000174,SUP0063,2025-03-27,2025-04-05,2025-04-02,Completed,9951.92
PO0000175,SUP0015,2026-05-09,2026-05-30,2026-06-05,Delayed,9328.04
PO0000176,SUP0049,2025-02-11,2025-03-01,2025-02-28,Completed,25986.74
PO0000177,SUP0042,2025-08-05,2025-08-19,2025-08-21,Completed,13557.83
PO0000178,SUP0050,2025-02-09,2025-02-23,2025-03-08,Delayed,13053.46
PO0000179,SUP0008,2025-02-02,2025-03-04,2025-03-06,Completed,13721.36
PO0000180,SUP0016,2025-09-01,2025-09-10,2025-09-14,Delayed,19562.4
PO0000181,SUP0090,2026-03-14,2026-04-03,,In Progress,18893.51
PO0000182,SUP0011,2025-09-12,2025-10-16,2025-10-16,Completed,110853.36
PO0000183,SUP0036,2025-01-29,2025-03-03,2025-03-07,Completed,5481.32
PO0000184,SUP0030,2025-12-01,2025-12-14,2026-01-01,Delayed,8292.03
PO0000185,SUP0080,2026-03-08,2026-03-28,,In Progress,6994.26
PO0000186,SUP0087,2025-12-28,2026-01-24,2026-01-29,Delayed,52177.07
PO0000187,SUP0056,2025-11-16,2025-12-08,2025-12-09,Completed,51840.56
PO0000188,SUP0046,2026-03-05,2026-04-13,2026-04-13,Completed,3226.02
PO0000189,SUP0012,2025-02-18,2025-03-17,2025-03-17,Completed,2705.94
PO0000190,SUP0050,2025-10-28,2025-11-02,2025-10-30,Completed,59109.68
PO0000191,SUP0059,2025-06-17,2025-07-09,2025-07-28,Delayed,23687.81
PO0000192,SUP0098,2025-03-31,2025-04-20,,In Progress,9598.88
PO0000193,SUP0096,2025-06-18,2025-07-20,2025-07-24,Completed,2031.48
PO0000194,SUP0031,2025-01-18,2025-02-04,2025-02-08,Completed,32836.56
PO0000195,SUP0052,2025-11-29,2025-12-18,2025-12-19,Completed,6000.0
PO0000196,SUP0054,2025-06-30,2025-07-20,2025-07-15,Completed,1986.88
PO0000197,SUP0007,2025-05-01,2025-05-18,2025-05-13,Completed,11800.32
PO0000198,SUP0083,2025-02-16,2025-03-20,2025-03-25,Completed,2709.78
PO0000199,SUP0091,2025-10-17,2025-11-19,2025-11-18,Completed,11840.96
PO0000200,SUP0082,2026-04-01,2026-05-02,2026-04-27,Completed,10789.57
PO0000201,SUP0043,2025-08-21,2025-09-25,2025-10-02,Completed,3490.44
PO0000202,SUP0050,2026-01-05,2026-02-05,2026-02-24,Delayed,543.62
PO0000203,SUP0078,2026-01-29,2026-02-17,2026-02-20,Completed,38985.34
PO0000204,SUP0037,2026-01-03,2026-01-28,2026-02-11,Delayed,1247.85
PO0000205,SUP0069,2026-04-19,2026-05-03,,Cancelled,8134.35
PO0000206,SUP0065,2025-01-15,2025-01-26,,Pending Approval,105038.19
PO0000207,SUP0021,2025-01-29,2025-02-20,2025-02-20,Completed,11647.91
PO0000208,SUP0001,2025-01-26,2025-01-31,2025-02-11,Completed,580.3
PO0000209,SUP0015,2025-06-16,2025-07-06,2025-07-11,Completed,14849.28
PO0000210,SUP0049,2025-08-10,2025-09-04,2025-09-09,Completed,355.92
PO0000211,SUP0065,2025-06-02,2025-07-19,2025-07-17,Completed,23319.62
PO0000212,SUP0080,2026-03-27,2026-04-17,2026-04-19,Completed,84221.22
PO0000213,SUP0012,2025-06-30,2025-08-03,2025-08-03,Completed,3991.56
PO0000214,SUP0034,2025-04-02,2025-04-25,,Cancelled,2623.92
PO0000215,SUP0023,2025-11-13,2025-11-23,2025-11-23,Completed,35734.7
PO0000216,SUP0063,2025-11-14,2025-11-28,2025-11-28,Completed,14031.38
PO0000217,SUP0059,2026-01-15,2026-02-21,2026-02-22,Completed,202.68
PO0000218,SUP0010,2025-05-08,2025-06-05,2025-05-31,Completed,23074.65
PO0000219,SUP0039,2025-03-28,2025-04-26,,Cancelled,4336.4
PO0000220,SUP0089,2025-08-20,2025-09-08,2025-09-03,Completed,22160.02
PO0000221,SUP0003,2025-10-13,2025-11-20,2025-11-29,Delayed,5923.07
PO0000222,SUP0004,2025-05-06,2025-05-28,,In Progress,17406.51
PO0000223,SUP0044,2026-04-12,2026-05-07,2026-05-08,Completed,1146.42
PO0000224,SUP0034,2025-12-10,2026-01-16,2026-01-13,Completed,11889.78
PO0000225,SUP0011,2026-05-23,2026-06-30,2026-06-30,Delayed,20943.38
PO0000226,SUP0043,2025-08-07,2025-08-31,2025-08-28,Completed,1997.16
PO0000227,SUP0049,2026-03-02,2026-03-28,2026-03-26,Completed,398.58
PO0000228,SUP0040,2026-04-07,2026-04-30,2026-05-06,Completed,46010.31
PO0000229,SUP0016,2025-04-17,2025-04-23,2025-04-23,Completed,5485.32
PO0000230,SUP0054,2025-11-20,2025-12-14,2025-12-13,Completed,26300.86
PO0000231,SUP0026,2026-02-19,2026-03-11,2026-03-13,Completed,1808.85
PO0000232,SUP0016,2025-06-02,2025-06-20,2025-07-04,Delayed,69538.9
PO0000233,SUP0050,2025-08-04,2025-08-09,2025-08-04,Completed,162088.89
PO0000234,SUP0030,2025-03-20,2025-04-10,,In Progress,7123.76
PO0000235,SUP0015,2026-01-23,2026-02-26,2026-03-02,Delayed,8400.16
PO0000236,SUP0076,2025-01-16,2025-02-15,2025-02-10,Completed,2213.82
PO0000237,SUP0097,2026-01-14,2026-02-13,,In Progress,11833.16
PO0000238,SUP0019,2025-08-24,2025-09-19,2025-09-17,Completed,37047.08
PO0000239,SUP0049,2025-03-04,2025-03-23,2025-03-25,Completed,10391.25
PO0000240,SUP0049,2026-01-04,2026-01-31,2026-01-27,Completed,13212.69
PO0000241,SUP0092,2025-05-16,2025-05-30,,Cancelled,2493.3
PO0000242,SUP0036,2025-08-29,2025-09-24,2025-09-28,Delayed,12894.45
PO0000243,SUP0002,2025-10-07,2025-11-19,2025-11-23,Completed,6928.35
PO0000244,SUP0002,2025-12-06,2026-01-05,2026-01-01,Completed,9840.96
PO0000245,SUP0086,2025-08-05,2025-08-21,,In Progress,115661.68
PO0000246,SUP0041,2025-06-13,2025-07-14,2025-07-17,Completed,26312.18
PO0000247,SUP0003,2026-05-29,2026-06-14,2026-06-14,Completed,1634.36
PO0000248,SUP0065,2025-04-22,2025-05-08,2025-05-06,Completed,6484.16
PO0000249,SUP0092,2026-05-05,2026-06-09,2026-06-08,Completed,20691.74
PO0000250,SUP0010,2025-11-01,2025-11-16,,In Progress,4030.08
PO0000251,SUP0029,2025-12-27,2026-01-06,2026-01-06,Completed,3153.82
PO0000252,SUP0056,2025-04-29,2025-05-20,2025-05-25,Completed,4951.45
PO0000253,SUP0093,2026-04-02,2026-04-18,2026-04-15,Completed,42225.65
PO0000254,SUP0017,2026-05-19,2026-06-19,2026-06-19,Completed,6637.38
PO0000255,SUP0065,2025-12-27,2026-01-20,2026-02-04,Delayed,25858.52
PO0000256,SUP0056,2026-02-26,2026-03-24,2026-03-23,Completed,2834.23
PO0000257,SUP0066,2026-05-14,2026-06-08,,In Progress,14330.8
PO0000258,SUP0094,2025-01-21,2025-02-22,2025-02-18,Completed,35764.1
PO0000259,SUP0054,2025-02-27,2025-04-01,2025-04-05,Completed,14989.66
PO0000260,SUP0023,2025-11-05,2025-11-24,2025-12-05,Completed,47611.07
PO0000261,SUP0045,2025-08-14,2025-09-26,2025-09-21,Completed,5143.38
PO0000262,SUP0066,2025-12-23,2026-01-27,2026-01-30,Completed,9408.14
PO0000263,SUP0011,2025-03-16,2025-03-30,2025-04-07,Delayed,3350.64
PO0000264,SUP0063,2025-12-22,2026-01-21,2026-01-20,Completed,14502.84
PO0000265,SUP0068,2025-06-24,2025-07-27,2025-08-09,Delayed,240835.44
PO0000266,SUP0003,2025-02-18,2025-03-05,2025-03-02,Completed,8192.35
PO0000267,SUP0019,2026-01-11,2026-02-23,2026-02-23,Completed,10276.88
PO0000268,SUP0011,2025-04-02,2025-05-04,,Cancelled,2098.08
PO0000269,SUP0036,2025-07-30,2025-09-02,2025-09-10,Delayed,9775.89
PO0000270,SUP0081,2025-04-15,2025-05-08,,In Progress,502.57
PO0000271,SUP0075,2026-03-13,2026-04-02,2026-04-04,Completed,19932.27
PO0000272,SUP0038,2025-02-23,2025-04-06,2025-04-06,Completed,6770.91
PO0000273,SUP0035,2025-03-13,2025-04-11,2025-04-11,Completed,12777.1
PO0000274,SUP0049,2025-06-01,2025-06-29,2025-06-28,Completed,42877.96
PO0000275,SUP0074,2025-05-03,2025-05-31,2025-06-03,Completed,311.1
PO0000276,SUP0016,2025-03-27,2025-05-05,2025-05-08,Completed,35640.75
PO0000277,SUP0059,2025-04-03,2025-05-02,2025-05-08,Delayed,4600.4
PO0000278,SUP0004,2025-02-09,2025-03-25,2025-03-25,Completed,4193.35
PO0000279,SUP0021,2025-02-24,2025-03-19,2025-03-14,Completed,10828.42
PO0000280,SUP0024,2025-11-07,2025-12-05,2025-12-07,Completed,42701.92
PO0000281,SUP0042,2025-08-08,2025-09-13,2025-09-13,Completed,2952.6
PO0000282,SUP0032,2025-10-01,2025-11-18,,In Progress,26893.64
PO0000283,SUP0069,2025-06-16,2025-07-19,2025-08-08,Delayed,9565.14
PO0000284,SUP0031,2026-01-27,2026-02-10,2026-02-11,Completed,23367.69
PO0000285,SUP0045,2025-10-10,2025-11-03,2025-11-08,Completed,13930.07
PO0000286,SUP0076,2025-08-22,2025-09-16,2025-09-13,Completed,13910.46
PO0000287,SUP0081,2026-02-16,2026-03-16,2026-03-27,Delayed,44020.03
PO0000288,SUP0039,2025-04-10,2025-04-29,2025-04-24,Completed,9154.5
PO0000289,SUP0062,2025-12-28,2026-01-13,2026-01-13,Completed,3179.4
PO0000290,SUP0059,2025-11-04,2025-11-23,,Pending Approval,2746.35
PO0000291,SUP0005,2026-04-11,2026-05-19,,Pending Approval,53743.5
PO0000292,SUP0005,2026-04-06,2026-04-17,2026-04-14,Completed,14823.52
PO0000293,SUP0043,2025-12-16,2025-12-31,2025-12-31,Completed,805.09
PO0000294,SUP0055,2025-06-10,2025-07-18,2025-07-18,Completed,50744.15
PO0000295,SUP0073,2025-02-10,2025-03-05,2025-03-10,Completed,18750.6
PO0000296,SUP0088,2025-10-26,2025-12-13,,Cancelled,40266.15
PO0000297,SUP0004,2025-07-22,2025-08-19,2025-08-14,Completed,369.36
PO0000298,SUP0003,2026-03-14,2026-03-26,2026-03-28,Completed,1440.79
PO0000299,SUP0085,2025-01-16,2025-02-13,2025-02-08,Completed,21817.0
PO0000300,SUP0028,2025-01-03,2025-02-02,,In Progress,7441.53
PO0000301,SUP0078,2025-01-22,2025-02-22,2025-02-17,Completed,89411.67
PO0000302,SUP0090,2025-06-17,2025-07-28,2025-07-28,Completed,1383.27
PO0000303,SUP0062,2026-03-06,2026-04-05,,In Progress,90834.01
PO0000304,SUP0025,2025-01-24,2025-02-12,2025-02-18,Completed,2650.94
PO0000305,SUP0010,2025-09-18,2025-11-05,2025-11-05,Completed,14914.32
PO0000306,SUP0011,2025-07-28,2025-09-06,2025-09-02,Completed,7322.64
PO0000307,SUP0036,2025-03-04,2025-03-29,2025-03-26,Completed,127897.77
PO0000308,SUP0011,2025-10-28,2025-11-20,2025-11-17,Completed,32613.19
PO0000309,SUP0039,2025-11-26,2025-12-18,2025-12-20,Completed,6738.28
PO0000310,SUP0099,2025-06-01,2025-06-09,2025-06-26,Delayed,13057.56
PO0000311,SUP0075,2025-09-14,2025-09-26,2025-09-25,Completed,63522.28
PO0000312,SUP0012,2025-10-02,2025-11-02,2025-11-09,Completed,15905.75
PO0000313,SUP0094,2025-10-04,2025-10-25,,In Progress,10098.39
PO0000314,SUP0040,2025-02-04,2025-02-28,2025-02-27,Completed,425.9
PO0000315,SUP0031,2025-05-29,2025-06-17,2025-07-02,Delayed,13174.16
PO0000316,SUP0063,2025-11-24,2025-12-20,2025-12-19,Completed,20418.02
PO0000317,SUP0053,2025-02-21,2025-03-26,2025-03-26,Completed,6925.83
PO0000318,SUP0039,2026-05-18,2026-06-18,,In Progress,12453.92
PO0000319,SUP0034,2025-05-08,2025-06-12,2025-06-29,Delayed,957.24
PO0000320,SUP0053,2025-01-19,2025-02-20,2025-02-18,Completed,10248.7
PO0000321,SUP0048,2025-01-23,2025-02-21,2025-02-23,Completed,10065.24
PO0000322,SUP0054,2025-05-18,2025-06-10,2025-06-16,Completed,11265.28
PO0000323,SUP0032,2025-08-09,2025-09-01,2025-08-30,Completed,30913.66
PO0000324,SUP0077,2026-01-25,2026-02-12,2026-02-13,Completed,126123.9
PO0000325,SUP0068,2026-05-22,2026-06-23,2026-06-23,Completed,4385.67
PO0000326,SUP0034,2026-05-11,2026-06-15,2026-06-22,Completed,16857.45
PO0000327,SUP0034,2026-05-31,2026-06-16,2026-06-30,Delayed,14072.25
PO0000328,SUP0003,2025-01-03,2025-02-04,2025-02-09,Completed,557.68
PO0000329,SUP0040,2025-12-04,2025-12-23,,Pending Approval,20107.13
PO0000330,SUP0030,2025-04-10,2025-04-22,2025-04-24,Completed,12531.06
PO0000331,SUP0013,2025-10-11,2025-11-09,,In Progress,142430.0
PO0000332,SUP0064,2025-09-19,2025-10-07,2025-10-17,Delayed,289.11
PO0000333,SUP0095,2025-08-07,2025-09-06,,In Progress,31766.84
PO0000334,SUP0047,2026-05-23,2026-06-20,2026-06-20,Completed,19858.7
PO0000335,SUP0059,2026-05-04,2026-06-04,,In Progress,16152.65
PO0000336,SUP0011,2026-05-12,2026-06-03,2026-06-19,Delayed,54243.28
PO0000337,SUP0040,2025-12-31,2026-01-30,,Cancelled,27091.82
