downtime_id,machine_id,production_order_id,start_time,end_time,downtime_minutes,reason,downtime_category
DT000030,MC041,PRD0019148,2025-10-15 11:30:00,2025-10-15 12:00:00,30,Tooling Change,Planned
DT000031,MC010,,2025-11-21 01:10:00,2025-11-21 02:09:00,59,Tooling Change,Planned
DT000032,MC050,PRD0012946,2025-07-13 19:10:00,2025-07-13 19:41:00,31,Mechanical Failure,Unplanned
DT000033,MC017,PRD0002847,2025-05-17 15:20:00,2025-05-17 16:15:00,55,Power Outage,Unplanned
DT000034,MC013,PRD0015167,2025-07-01 13:20:00,2025-07-01 13:30:00,10,Electrical Fault,Unplanned
DT000035,MC015,,2025-04-22 09:40:00,2025-04-22 10:05:00,25,Electrical Fault,Unplanned
DT000036,MC045,,2025-03-28 00:10:00,2025-03-28 01:16:00,66,Operator Break,Planned
DT000037,MC017,PRD0004018,2025-09-13 08:20:00,2025-09-13 09:14:00,54,Calibration,Planned
DT000038,MC020,,2025-06-29 16:20:00,2025-06-29 16:48:00,28,Tooling Change,Planned
DT000039,MC007,PRD0002906,2025-11-22 13:40:00,2025-11-22 16:20:00,160,Software/PLC Fault,Unplanned
DT000040,MC027,PRD0006394,2025-06-03 21:00:00,2025-06-03 22:07:00,67,Operator Break,Planned
DT000041,MC005,PRD0011412,2025-02-13 00:10:00,2025-02-13 01:05:00,55,Scheduled Maintenance,Planned
DT000042,MC030,PRD0001684,2025-05-11 04:40:00,2025-05-11 04:59:00,19,Power Outage,Unplanned
DT000043,MC034,PRD0014165,2025-12-01 16:10:00,2025-12-01 16:46:00,36,Material Shortage,Unplanned
DT000044,MC042,,2026-03-21 21:10:00,2026-03-21 22:04:00,54,Tooling Change,Planned
DT000045,MC016,,2026-02-21 04:00:00,2026-02-21 04:25:00,25,Material Shortage,Unplanned
DT000046,MC007,,2025-04-29 02:30:00,2025-04-29 03:00:00,30,Calibration,Planned
DT000047,MC012,PRD0000026,2025-04-15 03:00:00,2025-04-15 04:16:00,76,Scheduled Maintenance,Planned
DT000048,MC039,PRD0016296,2025-09-28 12:50:00,2025-09-28 13:35:00,45,Material Shortage,Unplanned
DT000049,MC039,PRD0015672,2025-09-19 11:10:00,2025-09-19 11:38:00,28,Power Outage,Unplanned
DT000050,MC045,PRD0000173,2025-11-15 16:30:00,2025-11-15 18:11:00,101,Mechanical Failure,Unplanned
DT000051,MC032,PRD0003007,2025-12-02 15:40:00,2025-12-02 18:37:00,177,Power Outage,Unplanned
DT000052,MC002,,2025-08-31 13:30:00,2025-08-31 13:56:00,26,Software/PLC Fault,Unplanned
DT000053,MC016,PRD0009595,2026-06-21 15:40:00,2026-06-21 16:47:00,67,Scheduled Maintenance,Planned
DT000054,MC022,PRD0007020,2025-01-16 15:20:00,2025-01-16 15:54:00,34,Material Shortage,Unplanned
DT000055,MC039,,2025-03-09 07:50:00,2025-03-09 08:29:00,39,Tooling Change,Planned
DT000056,MC020,,2025-05-07 10:20:00,2025-05-07 10:35:00,15,Software/PLC Fault,Unplanned
DT000057,MC025,PRD0011692,2025-11-24 10:50:00,2025-11-24 11:41:00,51,Tooling Change,Planned
DT000058,MC042,PRD0017746,2026-04-02 15:30:00,2026-04-02 15:54:00,24,Material Shortage,Unplanned
DT000059,MC004,,2025-11-15 15:10:00,2025-11-15 15:46:00,36,Calibration,Planned
DT000060,MC031,,2025-08-21 04:10:00,2025-08-21 04:57:00,47,Calibration,Planned
DT000061,MC020,,2025-10-04 15:30:00,2025-10-04 15:49:00,19,Power Outage,Unplanned
DT000062,MC045,,2025-04-05 00:40:00,2025-04-05 01:49:00,69,Electrical Fault,Unplanned
DT000063,MC045,PRD0005175,2025-12-01 15:20:00,2025-12-01 15:50:00,30,Electrical Fault,Unplanned
DT000064,MC029,PRD0006400,2025-10-13 03:00:00,2025-10-13 03:35:00,35,Operator Break,Planned
DT000065,MC008,PRD0010112,2025-08-30 01:50:00,2025-08-30 02:51:00,61,Electrical Fault,Unplanned
DT000066,MC028,PRD0017132,2026-04-04 14:40:00,2026-04-04 15:40:00,60,Power Outage,Unplanned
DT000067,MC022,PRD0010212,2025-10-05 16:20:00,2025-10-05 16:52:00,32,Scheduled Maintenance,Planned
DT000068,MC030,PRD0003421,2025-03-03 09:20:00,2025-03-03 09:55:00,35,Tooling Change,Planned
DT000069,MC034,PRD0006911,2025-07-10 16:10:00,2025-07-10 16:53:00,43,Material Shortage,Unplanned
DT000070,MC007,PRD0015311,2025-02-10 04:20:00,2025-02-10 05:28:00,68,Scheduled Maintenance,Planned
DT000071,MC003,PRD0015170,2026-06-18 02:20:00,2026-06-18 03:06:00,46,Operator Break,Planned
DT000072,MC045,PRD0010531,2026-06-17 04:30:00,2026-06-17 05:13:00,43,Material Shortage,Unplanned
DT000073,MC017,PRD0007015,2025-11-30 07:10:00,2025-11-30 08:28:00,78,Operator Break,Planned
DT000074,MC032,PRD0004714,2025-10-28 12:10:00,2025-10-28 12:58:00,48,Power Outage,Unplanned
DT000075,MC042,PRD0007187,2025-02-23 11:40:00,2025-02-23 12:11:00,31,Electrical Fault,Unplanned
DT000076,MC017,PRD0015237,2025-02-26 06:30:00,2025-02-26 07:02:00,32,Operator Break,Planned
DT000077,MC005,,2025-11-28 08:00:00,2025-11-28 08:20:00,20,Operator Break,Planned
DT000078,MC004,,2026-05-05 18:10:00,2026-05-05 19:15:00,65,Scheduled Maintenance,Planned
DT000079,MC045,PRD0000855,2025-01-25 19:30:00,2025-01-25 19:48:00,18,Mechanical Failure,Unplanned
DT000080,MC036,PRD0019101,2026-03-19 11:00:00,2026-03-19 11:48:00,48,Operator Break,Planned
DT000081,MC026,PRD0001132,2026-04-30 13:30:00,2026-04-30 16:18:00,168,Electrical Fault,Unplanned
DT000082,MC037,PRD0004878,2026-05-22 02:50:00,2026-05-22 03:27:00,37,Scheduled Maintenance,Planned
DT000083,MC036,PRD0007997,2025-04-28 11:10:00,2025-04-28 11:22:00,12,Scheduled Maintenance,Planned
DT000084,MC001,,2026-03-02 16:00:00,2026-03-02 17:08:00,68,Operator Break,Planned
DT000085,MC018,PRD0006423,2026-01-29 21:40:00,2026-01-29 22:14:00,34,Scheduled Maintenance,Planned
DT000086,MC003,,2026-04-17 03:30:00,2026-04-17 03:49:00,19,Software/PLC Fault,Unplanned
DT000087,MC021,,2026-06-09 12:00:00,2026-06-09 12:46:00,46,Operator Break,Planned
DT000088,MC002,PRD0005676,2025-02-10 13:50:00,2025-02-10 14:33:00,43,Power Outage,Unplanned
DT000089,MC017,,2025-04-26 01:50:00,2025-04-26 02:06:00,16,Power Outage,Unplanned
DT000090,MC026,,2025-08-01 09:40:00,2025-08-01 10:36:00,56,Software/PLC Fault,Unplanned
DT000091,MC001,PRD0015641,2025-06-06 19:00:00,2025-06-06 19:24:00,24,Power Outage,Unplanned
DT000092,MC003,PRD0003096,2026-05-24 07:50:00,2026-05-24 08:08:00,18,Power Outage,Unplanned
DT000093,MC030,PRD0003670,2026-03-07 08:00:00,2026-03-07 08:37:00,37,Operator Break,Planned
DT000094,MC024,PRD0000687,2025-08-28 07:20:00,2025-08-28 08:08:00,48,Tooling Change,Planned
DT000095,MC014,PRD0019149,2025-11-19 13:50:00,2025-11-19 15:29:00,99,Material Shortage,Unplanned
DT000096,MC032,PRD0005794,2026-01-28 15:10:00,2026-01-28 15:34:00,24,Mechanical Failure,Unplanned
DT000097,MC013,PRD0002727,2025-07-16 00:00:00,2025-07-16 01:05:00,65,Power Outage,Unplanned
DT000098,MC008,PRD0016818,2026-06-18 05:00:00,2026-06-18 05:24:00,24,Operator Break,Planned
DT000099,MC012,PRD0002971,2026-05-13 01:20:00,2026-05-13 03:30:00,130,Mechanical Failure,Unplanned
DT000100,MC023,PRD0015401,2025-09-25 01:00:00,2025-09-25 06:13:00,313,Mechanical Failure,Unplanned
DT000101,MC039,,2025-12-20 11:50:00,2025-12-20 14:33:00,163,Power Outage,Unplanned
DT000102,MC029,PRD0001777,2025-03-22 19:40:00,2025-03-22 20:41:00,61,Tooling Change,Planned
DT000103,MC029,PRD0001537,2025-06-07 21:50:00,2025-06-07 23:03:00,73,Operator Break,Planned
DT000104,MC037,PRD0014881,2025-09-20 00:20:00,2025-09-20 01:44:00,84,Power Outage,Unplanned
DT000105,MC020,PRD0018623,2025-12-11 08:10:00,2025-12-11 09:34:00,84,Software/PLC Fault,Unplanned
DT000106,MC042,,2026-01-15 19:30:00,2026-01-15 20:28:00,58,Electrical Fault,Unplanned
DT000107,MC026,PRD0005598,2026-04-06 13:30:00,2026-04-06 15:31:00,121,Electrical Fault,Unplanned
DT000108,MC009,PRD0003145,2025-01-09 10:10:00,2025-01-09 10:47:00,37,Scheduled Maintenance,Planned
DT000109,MC006,PRD0002876,2025-05-07 00:50:00,2025-05-07 01:11:00,21,Operator Break,Planned
DT000110,MC031,PRD0011398,2025-06-02 05:40:00,2025-06-02 05:52:00,12,Material Shortage,Unplanned
DT000111,MC014,PRD0002786,2025-11-09 14:10:00,2025-11-09 14:48:00,38,Power Outage,Unplanned
DT000112,MC027,PRD0004951,2025-10-25 04:50:00,2025-10-25 05:59:00,69,Calibration,Planned
DT000113,MC012,,2025-12-16 06:00:00,2025-12-16 06:10:00,10,Operator Break,Planned
DT000114,MC009,PRD0004507,2025-07-18 16:40:00,2025-07-18 17:29:00,49,Scheduled Maintenance,Planned
DT000115,MC049,PRD0019038,2026-05-30 13:20:00,2026-05-30 14:01:00,41,Mechanical Failure,Unplanned
DT000116,MC008,PRD0016169,2026-02-07 15:30:00,2026-02-07 15:43:00,13,Scheduled Maintenance,Planned
DT000117,MC044,,2026-02-24 10:00:00,2026-02-24 10:10:00,10,Calibration,Planned
DT000118,MC034,PRD0012411,2026-01-23 18:30:00,2026-01-23 18:40:00,10,Software/PLC Fault,Unplanned
DT000119,MC050,PRD0009156,2025-07-19 19:30:00,2025-07-19 20:52:00,82,Material Shortage,Unplanned
DT000120,MC030,PRD0008399,2026-05-07 15:50:00,2026-05-07 16:41:00,51,Electrical Fault,Unplanned
DT000121,MC014,,2025-12-18 02:50:00,2025-12-18 03:01:00,11,Material Shortage,Unplanned
DT000122,MC040,PRD0009235,2025-03-11 10:20:00,2025-03-11 11:19:00,59,Operator Break,Planned
DT000123,MC012,PRD0017581,2025-04-19 01:40:00,2025-04-19 03:08:00,88,Operator Break,Planned
DT000124,MC024,PRD0004186,2026-03-05 06:10:00,2026-03-05 07:12:00,62,Electrical Fault,Unplanned
DT000125,MC023,PRD0012436,2026-02-26 00:50:00,2026-02-26 01:30:00,40,Software/PLC Fault,Unplanned
DT000126,MC042,PRD0007132,2026-06-20 01:10:00,2026-06-20 01:56:00,46,Mechanical Failure,Unplanned
DT000127,MC002,,2025-05-10 10:10:00,2025-05-10 14:07:00,237,Electrical Fault,Unplanned
DT000128,MC020,PRD0005878,2026-01-24 15:30:00,2026-01-24 16:07:00,37,Tooling Change,Planned
DT000129,MC033,PRD0000788,2026-01-30 00:50:00,2026-01-30 01:49:00,59,Electrical Fault,Unplanned
DT000130,MC022,PRD0011160,2025-09-19 06:40:00,2025-09-19 09:34:00,174,Software/PLC Fault,Unplanned
DT000131,MC030,PRD0013039,2026-01-07 21:40:00,2026-01-08 00:45:00,185,Power Outage,Unplanned
DT000132,MC018,,2026-06-13 18:00:00,2026-06-13 19:21:00,81,Scheduled Maintenance,Planned
DT000133,MC002,PRD0006259,2025-01-22 12:20:00,2025-01-22 14:36:00,136,Material Shortage,Unplanned
DT000134,MC002,,2025-12-21 07:40:00,2025-12-21 13:49:00,369,Software/PLC Fault,Unplanned
DT000135,MC033,PRD0003781,2026-06-15 09:00:00,2026-06-15 09:20:00,20,Tooling Change,Planned
DT000136,MC046,PRD0016064,2025-06-07 18:50:00,2025-06-07 20:13:00,83,Scheduled Maintenance,Planned
DT000137,MC031,,2025-09-08 10:00:00,2025-09-08 10:05:00,5,Power Outage,Unplanned
DT000138,MC003,PRD0016577,2025-10-07 16:00:00,2025-10-07 17:09:00,69,Operator Break,Planned
DT000139,MC043,PRD0009067,2025-11-17 19:40:00,2025-11-17 20:09:00,29,Mechanical Failure,Unplanned
DT000140,MC016,PRD0006735,2025-03-05 22:00:00,2025-03-05 22:23:00,23,Mechanical Failure,Unplanned
DT000141,MC043,,2025-05-06 15:20:00,2025-05-06 15:41:00,21,Material Shortage,Unplanned
DT000142,MC038,PRD0004835,2025-09-15 05:10:00,2025-09-15 06:31:00,81,Mechanical Failure,Unplanned
DT000143,MC043,PRD0004934,2025-02-16 09:40:00,2025-02-16 10:27:00,47,Operator Break,Planned
DT000144,MC008,,2025-10-06 15:10:00,2025-10-06 15:15:00,5,Software/PLC Fault,Unplanned
DT000145,MC025,PRD0002649,2026-06-05 09:30:00,2026-06-05 09:49:00,19,Power Outage,Unplanned
DT000146,MC031,,2026-02-05 14:10:00,2026-02-05 15:19:00,69,Mechanical Failure,Unplanned
DT000147,MC022,PRD0010214,2025-04-11 05:30:00,2025-04-11 06:41:00,71,Power Outage,Unplanned
DT000148,MC031,PRD0002063,2025-02-15 05:50:00,2025-02-15 06:32:00,42,Software/PLC Fault,Unplanned
DT000149,MC042,PRD0012600,2025-01-18 00:10:00,2025-01-18 00:38:00,28,Operator Break,Planned
DT000150,MC022,PRD0000086,2025-01-28 20:10:00,2025-01-28 20:43:00,33,Software/PLC Fault,Unplanned
DT000151,MC016,PRD0009257,2026-04-06 04:40:00,2026-04-06 05:21:00,41,Mechanical Failure,Unplanned
DT000152,MC038,PRD0000229,2025-06-10 14:10:00,2025-06-10 15:04:00,54,Mechanical Failure,Unplanned
DT000153,MC025,PRD0002641,2026-04-16 01:10:00,2026-04-16 01:30:00,20,Calibration,Planned
DT000154,MC008,PRD0011445,2026-02-27 06:00:00,2026-02-27 07:02:00,62,Tooling Change,Planned
DT000155,MC040,PRD0016606,2025-05-08 11:40:00,2025-05-08 12:12:00,32,Tooling Change,Planned
DT000156,MC013,PRD0017435,2025-12-09 19:20:00,2025-12-09 19:39:00,19,Material Shortage,Unplanned
DT000157,MC030,,2026-05-12 12:30:00,2026-05-12 13:18:00,48,Software/PLC Fault,Unplanned
DT000158,MC012,PRD0009832,2025-04-04 02:20:00,2025-04-04 03:12:00,52,Operator Break,Planned
DT000159,MC005,,2025-02-15 20:30:00,2025-02-15 21:21:00,51,Electrical Fault,Unplanned
DT000160,MC011,PRD0007530,2025-09-29 07:30:00,2025-09-29 08:33:00,63,Material Shortage,Unplanned
DT000161,MC019,PRD0005502,2026-04-17 12:40:00,2026-04-17 13:38:00,58,Operator Break,Planned
DT000162,MC011,,2026-02-12 11:30:00,2026-02-12 11:59:00,29,Operator Break,Planned
DT000163,MC001,PRD0011181,2025-01-11 16:10:00,2025-01-11 17:09:00,59,Operator Break,Planned
DT000164,MC022,PRD0006970,2026-01-04 08:00:00,2026-01-04 08:45:00,45,Mechanical Failure,Unplanned
DT000165,MC018,PRD0001830,2025-04-28 01:50:00,2025-04-28 07:45:00,355,Mechanical Failure,Unplanned
DT000166,MC019,PRD0003063,2026-03-22 02:30:00,2026-03-22 10:07:00,457,Mechanical Failure,Unplanned
DT000167,MC011,PRD0019830,2026-06-24 05:50:00,2026-06-24 06:44:00,54,Tooling Change,Planned
DT000168,MC019,PRD0006425,2025-07-13 07:30:00,2025-07-13 07:44:00,14,Operator Break,Planned
DT000169,MC043,PRD0009683,2025-01-11 08:10:00,2025-01-11 09:16:00,66,Software/PLC Fault,Unplanned
DT000170,MC026,PRD0006444,2025-03-19 19:00:00,2025-03-19 20:10:00,70,Scheduled Maintenance,Planned
DT000171,MC001,PRD0005616,2025-10-21 12:20:00,2025-10-21 13:55:00,95,Software/PLC Fault,Unplanned
DT000172,MC022,PRD0003395,2026-04-24 00:40:00,2026-04-24 01:33:00,53,Software/PLC Fault,Unplanned
DT000173,MC017,PRD0013508,2025-07-20 16:40:00,2025-07-20 17:02:00,22,Tooling Change,Planned
DT000174,MC035,,2026-01-15 19:10:00,2026-01-15 19:30:00,20,Operator Break,Planned
DT000175,MC037,PRD0001459,2025-06-17 20:30:00,2025-06-17 21:18:00,48,Software/PLC Fault,Unplanned
DT000176,MC048,PRD0003461,2025-10-14 19:20:00,2025-10-14 19:39:00,19,Mechanical Failure,Unplanned
DT000177,MC018,PRD0004779,2026-04-28 03:40:00,2026-04-28 04:44:00,64,Calibration,Planned
DT000178,MC027,PRD0006080,2025-07-15 12:20:00,2025-07-15 13:14:00,54,Software/PLC Fault,Unplanned
DT000179,MC025,PRD0011434,2025-07-16 04:10:00,2025-07-16 04:31:00,21,Mechanical Failure,Unplanned
DT000180,MC022,PRD0001794,2025-12-12 08:10:00,2025-12-12 09:23:00,73,Mechanical Failure,Unplanned
DT000181,MC001,,2025-09-25 18:10:00,2025-09-25 18:57:00,47,Scheduled Maintenance,Planned
DT000182,MC017,PRD0003995,2026-04-19 21:10:00,2026-04-19 21:52:00,42,Material Shortage,Unplanned
DT000183,MC012,PRD0008038,2026-03-14 13:10:00,2026-03-14 13:40:00,30,Operator Break,Planned
DT000184,MC040,PRD0019535,2026-05-28 09:00:00,2026-05-28 10:10:00,70,Scheduled Maintenance,Planned
DT000185,MC019,,2026-02-08 18:20:00,2026-02-08 19:08:00,48,Power Outage,Unplanned
DT000186,MC047,PRD0012937,2026-06-14 09:30:00,2026-06-14 10:34:00,64,Scheduled Maintenance,Planned
DT000187,MC025,,2026-03-13 11:40:00,2026-03-13 11:58:00,18,Software/PLC Fault,Unplanned
DT000188,MC010,PRD0003473,2025-10-21 04:40:00,2025-10-21 05:39:00,59,Scheduled Maintenance,Planned
DT000189,MC027,PRD0004290,2025-11-13 07:00:00,2025-11-13 08:28:00,88,Electrical Fault,Unplanned
DT000190,MC033,PRD0006007,2025-10-10 09:20:00,2025-10-10 10:01:00,41,Calibration,Planned
DT000191,MC010,PRD0019648,2025-08-11 07:00:00,2025-08-11 07:49:00,49,Material Shortage,Unplanned
DT000192,MC001,PRD0015477,2025-12-20 15:00:00,2025-12-20 15:45:00,45,Tooling Change,Planned
DT000193,MC004,,2025-02-28 01:00:00,2025-02-28 01:16:00,16,Electrical Fault,Unplanned
DT000194,MC040,PRD0003516,2025-07-27 11:50:00,2025-07-27 12:29:00,39,Electrical Fault,Unplanned
DT000195,MC032,PRD0002993,2026-03-24 22:00:00,2026-03-24 22:49:00,49,Electrical Fault,Unplanned
DT000196,MC009,,2025-05-05 17:10:00,2025-05-05 17:39:00,29,Electrical Fault,Unplanned
DT000197,MC027,,2025-06-08 16:20:00,2025-06-08 17:50:00,90,Power Outage,Unplanned
DT000198,MC027,PRD0012705,2025-01-10 05:10:00,2025-01-10 07:31:00,141,Software/PLC Fault,Unplanned
DT000199,MC003,PRD0019797,2026-02-16 19:40:00,2026-02-16 20:26:00,46,Software/PLC Fault,Unplanned
DT000200,MC046,,2026-02-17 10:20:00,2026-02-17 10:55:00,35,Tooling Change,Planned
DT000201,MC023,PRD0019966,2025-02-11 13:50:00,2025-02-11 15:02:00,72,Operator Break,Planned
DT000202,MC003,,2026-04-03 12:10:00,2026-04-03 12:39:00,29,Scheduled Maintenance,Planned
DT000203,MC045,,2026-06-16 01:00:00,2026-06-16 01:24:00,24,Scheduled Maintenance,Planned
DT000204,MC012,,2025-04-09 03:20:00,2025-04-09 03:30:00,10,Tooling Change,Planned
DT000205,MC013,PRD0006267,2025-11-10 14:50:00,2025-11-10 15:14:00,24,Mechanical Failure,Unplanned
DT000206,MC010,PRD0018718,2025-11-04 20:20:00,2025-11-04 21:44:00,84,Tooling Change,Planned
DT000207,MC015,,2026-02-17 12:20:00,2026-02-17 13:06:00,46,Tooling Change,Planned
DT000208,MC011,PRD0002611,2026-06-16 05:20:00,2026-06-16 06:13:00,53,Operator Break,Planned
DT000209,MC050,PRD0017549,2025-06-05 16:20:00,2025-06-05 16:29:00,9,Material Shortage,Unplanned
DT000210,MC043,PRD0005510,2025-01-26 04:30:00,2025-01-26 04:49:00,19,Software/PLC Fault,Unplanned
DT000211,MC047,PRD0011414,2025-04-02 16:40:00,2025-04-02 17:03:00,23,Mechanical Failure,Unplanned
DT000212,MC035,PRD0000298,2025-08-30 02:00:00,2025-08-30 02:20:00,20,Calibration,Planned
DT000213,MC022,PRD0007551,2025-11-13 02:50:00,2025-11-13 03:59:00,69,Material Shortage,Unplanned
DT000214,MC008,PRD0013449,2025-01-21 16:50:00,2025-01-21 17:21:00,31,Mechanical Failure,Unplanned
DT000215,MC046,PRD0004600,2025-05-07 04:10:00,2025-05-07 04:18:00,8,Software/PLC Fault,Unplanned
DT000216,MC006,,2025-01-15 14:20:00,2025-01-15 14:33:00,13,Material Shortage,Unplanned
DT000217,MC038,,2025-04-21 00:20:00,2025-04-21 01:05:00,45,Material Shortage,Unplanned
DT000218,MC040,,2025-09-07 04:00:00,2025-09-07 04:13:00,13,Mechanical Failure,Unplanned
DT000219,MC045,,2026-03-01 03:30:00,2026-03-01 04:34:00,64,Power Outage,Unplanned
DT000220,MC050,PRD0012431,2025-08-02 15:50:00,2025-08-02 17:07:00,77,Tooling Change,Planned
DT000221,MC023,PRD0009635,2026-02-21 22:20:00,2026-02-21 23:34:00,74,Tooling Change,Planned
DT000222,MC050,PRD0018454,2025-12-11 01:00:00,2025-12-11 01:07:00,7,Software/PLC Fault,Unplanned
DT000223,MC006,PRD0014299,2026-04-04 14:40:00,2026-04-04 14:58:00,18,Tooling Change,Planned
DT000224,MC049,,2025-09-30 10:00:00,2025-09-30 11:01:00,61,Operator Break,Planned
DT000225,MC049,PRD0018571,2025-10-01 09:00:00,2025-10-01 10:02:00,62,Operator Break,Planned
DT000226,MC010,,2026-04-13 18:30:00,2026-04-13 19:38:00,68,Scheduled Maintenance,Planned
DT000227,MC047,PRD0002658,2026-05-24 05:40:00,2026-05-24 06:26:00,46,Operator Break,Planned
DT000228,MC038,PRD0004106,2025-09-11 22:30:00,2025-09-11 23:40:00,70,Tooling Change,Planned
DT000229,MC046,PRD0012392,2026-01-13 16:20:00,2026-01-13 17:15:00,55,Scheduled Maintenance,Planned
DT000230,MC023,PRD0019191,2026-03-03 21:10:00,2026-03-03 21:42:00,32,Calibration,Planned
DT000231,MC036,PRD0003655,2025-02-27 14:10:00,2025-02-27 16:00:00,110,Material Shortage,Unplanned
DT000232,MC028,PRD0009206,2025-10-12 11:30:00,2025-10-12 12:42:00,72,Power Outage,Unplanned
DT000233,MC007,PRD0017478,2025-12-14 11:00:00,2025-12-14 12:22:00,82,Mechanical Failure,Unplanned
DT000234,MC039,PRD0000977,2026-04-26 14:20:00,2026-04-26 14:55:00,35,Mechanical Failure,Unplanned
DT000235,MC032,PRD0011911,2025-12-12 06:10:00,2025-12-12 06:28:00,18,Power Outage,Unplanned
DT000236,MC023,PRD0019245,2025-07-27 03:40:00,2025-07-27 04:26:00,46,Electrical Fault,Unplanned
DT000237,MC011,PRD0010722,2026-06-30 16:30:00,2026-06-30 18:10:00,100,Software/PLC Fault,Unplanned
DT000238,MC041,PRD0019012,2025-05-09 21:00:00,2025-05-09 22:24:00,84,Electrical Fault,Unplanned
DT000239,MC047,PRD0004466,2026-03-13 15:40:00,2026-03-13 16:51:00,71,Tooling Change,Planned
DT000240,MC049,,2025-05-02 15:40:00,2025-05-02 16:56:00,76,Electrical Fault,Unplanned
DT000241,MC020,PRD0012821,2025-10-13 22:30:00,2025-10-13 22:50:00,20,Software/PLC Fault,Unplanned
DT000242,MC022,,2026-02-27 10:20:00,2026-02-27 11:16:00,56,Material Shortage,Unplanned
DT000243,MC006,PRD0009225,2025-01-23 14:50:00,2025-01-23 15:05:00,15,Tooling Change,Planned
DT000244,MC047,,2025-12-14 16:30:00,2025-12-14 17:03:00,33,Power Outage,Unplanned
DT000245,MC040,PRD0003447,2025-08-01 08:10:00,2025-08-01 09:18:00,68,Material Shortage,Unplanned
DT000246,MC049,PRD0002861,2025-07-09 10:20:00,2025-07-09 10:51:00,31,Power Outage,Unplanned
DT000247,MC046,PRD0013789,2026-04-28 15:10:00,2026-04-28 15:35:00,25,Scheduled Maintenance,Planned
DT000248,MC030,PRD0011408,2025-09-06 02:30:00,2025-09-06 02:45:00,15,Electrical Fault,Unplanned
DT000249,MC047,,2025-02-01 12:10:00,2025-02-01 12:23:00,13,Material Shortage,Unplanned
DT000250,MC018,,2025-12-29 13:10:00,2025-12-29 13:33:00,23,Tooling Change,Planned
DT000251,MC001,PRD0018871,2026-06-01 16:40:00,2026-06-01 17:20:00,40,Calibration,Planned
DT000252,MC041,PRD0009809,2025-08-09 16:40:00,2025-08-09 17:28:00,48,Electrical Fault,Unplanned
