alarm_id,elevator_id,timestamp,alarm_code,alarm_type,severity,resolved_flag,resolution_time_minutes
ALM0000073,ELV00064,2026-04-25 06:22:00,E303,Motor Overheat,Low,N,
ALM0000074,ELV00055,2026-06-10 10:43:33,E606,Brake Fault,Medium,Y,38
ALM0000075,ELV00469,2025-12-31 10:18:07,E909,Leveling Error,Medium,Y,22
ALM0000076,ELV00381,2026-06-16 18:10:00,E303,Motor Overheat,Low,Y,22
ALM0000077,ELV00421,2025-11-28 07:49:08,E808,Speed Deviation,Medium,N,
ALM0000078,ELV00044,2025-11-06 14:01:25,E909,Leveling Error,Critical,Y,43
ALM0000079,ELV00045,2025-08-27 08:10:43,E808,Speed Deviation,Low,Y,23
ALM0000080,ELV00058,2026-04-18 03:12:53,E707,Communication Loss,Low,Y,44
ALM0000081,ELV00051,2026-01-04 06:41:01,E202,Overload,Medium,Y,14
ALM0000082,ELV00277,2026-06-09 22:09:13,E707,Communication Loss,Medium,Y,22
ALM0000083,ELV00422,2025-02-12 14:19:39,E404,Excess Vibration,Medium,Y,31
ALM0000084,ELV00101,2025-05-17 02:35:22,E404,Excess Vibration,Low,Y,5
ALM0000085,ELV00443,2025-11-05 12:17:35,E404,Excess Vibration,High,Y,20
ALM0000086,ELV00297,2025-03-26 23:32:32,E909,Leveling Error,Critical,Y,55
ALM0000087,ELV00112,2025-09-18 06:14:49,E707,Communication Loss,High,Y,30
ALM0000088,ELV00083,2025-08-05 22:49:27,E404,Excess Vibration,Critical,Y,299
ALM0000089,ELV00113,2025-09-17 15:54:57,E606,Brake Fault,Critical,Y,35
ALM0000090,ELV00365,2025-06-24 13:32:45,E505,Power Fault,High,Y,158
ALM0000091,ELV00238,2025-07-08 14:39:06,E303,Motor Overheat,High,Y,97
ALM0000092,ELV00400,2026-01-23 11:39:23,E808,Speed Deviation,High,Y,55
ALM0000093,ELV00032,2025-01-21 16:21:56,E909,Leveling Error,Medium,Y,12
ALM0000094,ELV00217,2025-11-19 16:19:21,E606,Brake Fault,Low,Y,6
ALM0000095,ELV00467,2025-02-16 08:37:16,E303,Motor Overheat,High,N,
ALM0000096,ELV00388,2025-05-18 04:01:47,E808,Speed Deviation,Medium,Y,19
ALM0000097,ELV00238,2025-05-06 02:03:24,E808,Speed Deviation,Medium,Y,15
ALM0000098,ELV00329,2025-08-22 17:02:03,E808,Speed Deviation,Low,Y,6
ALM0000099,ELV00376,2025-11-02 16:15:05,E202,Overload,Medium,Y,54
ALM0000100,ELV00067,2025-10-09 01:08:29,E505,Power Fault,High,Y,35
ALM0000101,ELV00341,2026-02-08 14:08:30,E606,Brake Fault,Critical,N,
ALM0000102,ELV00379,2025-08-19 05:35:01,E909,Leveling Error,Low,Y,24
ALM0000103,ELV00062,2025-04-13 09:04:28,E808,Speed Deviation,Medium,Y,23
ALM0000104,ELV00427,2026-03-03 21:24:31,E404,Excess Vibration,High,Y,68
ALM0000105,ELV00264,2026-04-23 04:14:19,E909,Leveling Error,Medium,Y,32
ALM0000106,ELV00439,2026-05-31 21:52:19,E202,Overload,High,Y,23
ALM0000107,ELV00271,2025-07-02 17:44:18,E505,Power Fault,Low,Y,22
ALM0000108,ELV00356,2025-02-28 03:32:57,E303,Motor Overheat,Low,Y,25
ALM0000109,ELV00042,2026-05-23 13:21:09,E707,Communication Loss,Medium,N,
ALM0000110,ELV00103,2026-04-05 05:43:39,E808,Speed Deviation,Medium,Y,40
ALM0000111,ELV00407,2026-05-10 11:48:06,E404,Excess Vibration,Critical,Y,175
ALM0000112,ELV00127,2025-03-06 21:36:25,E606,Brake Fault,Low,Y,19
ALM0000113,ELV00446,2025-06-26 06:46:42,E202,Overload,Low,Y,5
ALM0000114,ELV00247,2025-07-07 10:49:04,E101,Door Fault,Low,Y,15
ALM0000115,ELV00373,2025-11-05 17:57:27,E808,Speed Deviation,Low,Y,33
ALM0000116,ELV00263,2026-06-14 00:19:12,E606,Brake Fault,Low,N,
ALM0000117,ELV00315,2025-12-02 14:36:53,E303,Motor Overheat,High,N,
ALM0000118,ELV00289,2025-08-19 03:24:30,E101,Door Fault,Low,Y,32
ALM0000119,ELV00343,2025-05-16 09:30:10,E707,Communication Loss,Medium,Y,15
ALM0000120,ELV00440,2026-05-19 06:07:22,E707,Communication Loss,High,Y,131
ALM0000121,ELV00310,2026-05-24 04:20:54,E606,Brake Fault,Medium,Y,13
ALM0000122,ELV00167,2025-10-03 04:27:23,E303,Motor Overheat,Medium,Y,33
ALM0000123,ELV00181,2026-05-25 00:51:38,E404,Excess Vibration,High,Y,45
ALM0000124,ELV00339,2025-11-18 23:35:24,E303,Motor Overheat,Low,Y,13
ALM0000125,ELV00030,2025-08-21 16:08:30,E303,Motor Overheat,High,Y,52
ALM0000126,ELV00470,2026-06-03 20:41:00,E707,Communication Loss,Low,Y,21
ALM0000127,ELV00219,2025-06-02 05:03:08,E101,Door Fault,Low,Y,35
ALM0000128,ELV00201,2025-11-06 13:51:36,E606,Brake Fault,Medium,Y,12
ALM0000129,ELV00114,2025-06-11 00:37:44,E404,Excess Vibration,Critical,Y,85
ALM0000130,ELV00257,2025-01-27 21:45:47,E606,Brake Fault,High,Y,20
ALM0000131,ELV00011,2026-01-31 22:34:41,E505,Power Fault,Low,N,
ALM0000132,ELV00426,2026-03-15 14:23:01,E505,Power Fault,Low,Y,22
ALM0000133,ELV00425,2025-04-25 02:25:27,E606,Brake Fault,Critical,N,
ALM0000134,ELV00067,2025-09-07 18:22:09,E101,Door Fault,Medium,Y,47
ALM0000135,ELV00074,2025-09-18 08:08:13,E202,Overload,Medium,Y,10
ALM0000136,ELV00441,2025-12-27 11:50:35,E404,Excess Vibration,Medium,Y,32
ALM0000137,ELV00207,2026-05-15 22:58:16,E303,Motor Overheat,Critical,Y,92
ALM0000138,ELV00167,2025-06-04 14:32:57,E606,Brake Fault,Medium,Y,86
ALM0000139,ELV00029,2026-03-30 17:49:22,E808,Speed Deviation,High,N,
ALM0000140,ELV00030,2026-04-08 22:16:10,E707,Communication Loss,High,Y,60
ALM0000141,ELV00014,2025-10-01 20:00:27,E909,Leveling Error,Low,Y,24
ALM0000142,ELV00341,2025-04-11 22:32:52,E909,Leveling Error,Medium,Y,17
ALM0000143,ELV00191,2026-06-03 15:48:31,E404,Excess Vibration,High,Y,189
ALM0000144,ELV00244,2026-05-22 08:22:16,E606,Brake Fault,Low,Y,12
ALM0000145,ELV00047,2026-03-06 12:34:25,E707,Communication Loss,Low,Y,56
ALM0000146,ELV00097,2025-05-22 03:51:52,E505,Power Fault,Low,Y,45
ALM0000147,ELV00071,2025-08-29 05:54:47,E909,Leveling Error,High,Y,43
ALM0000148,ELV00246,2026-02-02 16:15:19,E404,Excess Vibration,Medium,Y,37
ALM0000149,ELV00248,2025-08-05 21:46:53,E101,Door Fault,Low,Y,18
ALM0000150,ELV00196,2025-12-14 12:23:54,E202,Overload,Critical,N,
ALM0000151,ELV00067,2025-05-30 06:24:57,E606,Brake Fault,High,Y,28
ALM0000152,ELV00063,2025-06-15 08:37:11,E606,Brake Fault,Critical,Y,37
ALM0000153,ELV00121,2025-05-16 03:53:04,E404,Excess Vibration,Critical,Y,185
ALM0000154,ELV00113,2025-05-21 21:07:58,E404,Excess Vibration,Medium,Y,20
ALM0000155,ELV00430,2026-01-13 05:40:58,E707,Communication Loss,Medium,N,
ALM0000156,ELV00277,2026-04-19 19:13:52,E101,Door Fault,Low,Y,19
ALM0000157,ELV00482,2025-12-12 08:20:04,E303,Motor Overheat,Medium,N,
ALM0000158,ELV00233,2026-02-12 22:24:31,E303,Motor Overheat,Low,Y,18
ALM0000159,ELV00361,2025-02-20 15:46:48,E707,Communication Loss,Low,Y,14
ALM0000160,ELV00280,2025-10-20 04:59:23,E808,Speed Deviation,High,Y,91
ALM0000161,ELV00011,2026-01-05 04:35:16,E303,Motor Overheat,High,Y,40
ALM0000162,ELV00245,2025-03-26 13:00:31,E404,Excess Vibration,Medium,Y,16
ALM0000163,ELV00491,2025-04-17 16:46:31,E101,Door Fault,Low,Y,24
ALM0000164,ELV00074,2026-06-20 21:25:43,E808,Speed Deviation,Medium,Y,15
ALM0000165,ELV00360,2025-05-11 04:56:02,E101,Door Fault,Low,Y,13
ALM0000166,ELV00059,2025-12-28 03:32:40,E606,Brake Fault,High,Y,197
ALM0000167,ELV00001,2025-12-15 21:34:59,E101,Door Fault,Low,Y,12
ALM0000168,ELV00100,2025-09-06 05:13:50,E101,Door Fault,Medium,Y,15
ALM0000169,ELV00240,2025-01-20 06:04:33,E404,Excess Vibration,Medium,Y,24
ALM0000170,ELV00132,2025-11-23 02:06:29,E707,Communication Loss,Medium,Y,16
ALM0000171,ELV00320,2026-05-20 21:27:02,E808,Speed Deviation,High,N,
ALM0000172,ELV00369,2025-12-03 00:12:54,E101,Door Fault,Low,Y,12
ALM0000173,ELV00440,2026-05-09 12:51:44,E808,Speed Deviation,Medium,Y,25
ALM0000174,ELV00373,2026-02-01 14:23:23,E707,Communication Loss,High,Y,49
ALM0000175,ELV00457,2026-06-25 17:22:03,E808,Speed Deviation,Low,Y,11
ALM0000176,ELV00484,2025-07-18 12:30:19,E606,Brake Fault,Medium,N,
ALM0000177,ELV00377,2026-03-14 22:30:17,E606,Brake Fault,Medium,Y,10
ALM0000178,ELV00450,2025-11-28 23:34:22,E303,Motor Overheat,High,Y,31
ALM0000179,ELV00379,2025-06-27 10:10:56,E404,Excess Vibration,Low,Y,16
ALM0000180,ELV00002,2026-05-21 16:08:37,E707,Communication Loss,High,Y,15
ALM0000181,ELV00064,2025-11-21 07:44:56,E404,Excess Vibration,High,Y,78
ALM0000182,ELV00433,2025-06-01 22:05:55,E909,Leveling Error,High,Y,42
ALM0000183,ELV00015,2025-03-16 12:41:01,E808,Speed Deviation,Medium,Y,73
ALM0000184,ELV00331,2025-06-05 00:04:32,E202,Overload,High,Y,155
ALM0000185,ELV00237,2025-05-26 09:47:05,E505,Power Fault,Medium,Y,26
ALM0000186,ELV00216,2025-05-02 14:42:01,E202,Overload,Low,Y,26
ALM0000187,ELV00306,2025-10-21 01:05:51,E606,Brake Fault,High,Y,78
ALM0000188,ELV00351,2026-03-18 12:06:17,E808,Speed Deviation,Critical,Y,108
ALM0000189,ELV00017,2026-03-31 11:00:34,E404,Excess Vibration,Low,Y,13
ALM0000190,ELV00092,2026-01-25 03:44:12,E101,Door Fault,High,N,
ALM0000191,ELV00194,2026-04-26 20:43:24,E909,Leveling Error,Medium,Y,34
ALM0000192,ELV00230,2025-11-03 00:52:17,E101,Door Fault,Medium,Y,10
ALM0000193,ELV00243,2026-06-10 17:43:57,E707,Communication Loss,High,Y,72
ALM0000194,ELV00266,2026-05-14 18:23:28,E909,Leveling Error,Critical,Y,50
ALM0000195,ELV00417,2025-07-01 20:17:49,E606,Brake Fault,Low,Y,28
ALM0000196,ELV00028,2026-04-23 17:32:06,E808,Speed Deviation,Medium,N,
ALM0000197,ELV00474,2026-01-11 20:13:28,E909,Leveling Error,Critical,Y,151
ALM0000198,ELV00311,2026-04-27 03:43:22,E202,Overload,Low,Y,17
ALM0000199,ELV00350,2026-01-22 02:48:52,E505,Power Fault,Critical,Y,120
ALM0000200,ELV00409,2025-02-16 00:15:13,E303,Motor Overheat,Low,Y,22
ALM0000201,ELV00271,2026-05-13 16:24:57,E303,Motor Overheat,Low,Y,8
ALM0000202,ELV00462,2025-10-02 18:57:27,E404,Excess Vibration,High,Y,92
ALM0000203,ELV00091,2026-04-11 23:18:13,E505,Power Fault,High,Y,23
ALM0000204,ELV00434,2026-04-12 09:03:19,E808,Speed Deviation,Medium,Y,21
ALM0000205,ELV00319,2025-08-12 00:24:40,E404,Excess Vibration,Medium,Y,63
ALM0000206,ELV00134,2025-07-04 17:15:16,E909,Leveling Error,Low,Y,14
ALM0000207,ELV00050,2025-06-29 08:24:52,E808,Speed Deviation,High,Y,26
ALM0000208,ELV00288,2025-12-18 23:03:48,E808,Speed Deviation,Medium,Y,28
ALM0000209,ELV00252,2025-05-08 00:05:35,E404,Excess Vibration,High,Y,116
ALM0000210,ELV00400,2025-09-17 22:43:38,E303,Motor Overheat,High,Y,50
ALM0000211,ELV00244,2026-05-18 22:50:36,E202,Overload,Low,Y,29
ALM0000212,ELV00163,2025-02-22 19:02:15,E202,Overload,Medium,Y,8
ALM0000213,ELV00197,2025-06-22 16:00:32,E202,Overload,High,Y,136
ALM0000214,ELV00492,2025-09-26 16:26:07,E101,Door Fault,Low,Y,21
ALM0000215,ELV00113,2025-09-18 05:31:00,E404,Excess Vibration,Medium,Y,18
ALM0000216,ELV00467,2026-03-01 03:53:26,E606,Brake Fault,Medium,Y,13
ALM0000217,ELV00465,2025-08-23 15:06:31,E808,Speed Deviation,Medium,Y,28
ALM0000218,ELV00134,2026-06-07 00:35:54,E707,Communication Loss,Medium,Y,22
ALM0000219,ELV00091,2025-08-13 16:45:22,E808,Speed Deviation,Medium,Y,34
ALM0000220,ELV00067,2025-04-07 07:08:12,E808,Speed Deviation,Low,Y,71
ALM0000221,ELV00441,2025-08-19 16:12:51,E505,Power Fault,High,Y,33
ALM0000222,ELV00187,2025-04-22 09:27:18,E808,Speed Deviation,Medium,Y,22
ALM0000223,ELV00241,2025-01-06 21:47:42,E909,Leveling Error,Low,Y,13
ALM0000224,ELV00106,2026-03-04 13:55:08,E909,Leveling Error,Medium,Y,8
ALM0000225,ELV00439,2025-11-16 14:07:48,E404,Excess Vibration,Low,Y,35
ALM0000226,ELV00329,2025-12-25 09:07:44,E202,Overload,Critical,N,
ALM0000227,ELV00444,2025-05-20 09:29:43,E202,Overload,Low,Y,15
ALM0000228,ELV00422,2026-04-19 03:54:06,E202,Overload,Medium,Y,16
ALM0000229,ELV00007,2025-03-01 09:06:32,E909,Leveling Error,Low,N,
ALM0000230,ELV00097,2026-03-17 09:19:38,E606,Brake Fault,Low,Y,20
ALM0000231,ELV00413,2026-01-29 01:50:11,E505,Power Fault,Medium,Y,17
ALM0000232,ELV00372,2025-05-16 18:30:51,E404,Excess Vibration,Medium,Y,23
ALM0000233,ELV00485,2025-09-21 07:59:00,E101,Door Fault,High,Y,48
ALM0000234,ELV00024,2026-03-11 02:19:41,E303,Motor Overheat,Medium,Y,30
ALM0000235,ELV00070,2025-12-11 18:20:42,E707,Communication Loss,Medium,N,
ALM0000236,ELV00209,2025-05-04 14:54:31,E404,Excess Vibration,Low,Y,20
ALM0000237,ELV00105,2025-02-26 00:47:39,E101,Door Fault,Medium,Y,92
ALM0000238,ELV00176,2026-05-12 18:29:46,E404,Excess Vibration,High,Y,94
ALM0000239,ELV00407,2025-02-11 21:26:34,E202,Overload,Low,Y,6
ALM0000240,ELV00444,2025-05-10 09:43:02,E707,Communication Loss,High,Y,29
ALM0000241,ELV00138,2025-10-21 12:45:36,E505,Power Fault,High,Y,20
ALM0000242,ELV00062,2025-11-17 06:25:26,E303,Motor Overheat,Medium,Y,33
ALM0000243,ELV00452,2025-06-26 01:23:31,E303,Motor Overheat,Low,Y,85
ALM0000244,ELV00312,2025-02-04 08:08:07,E404,Excess Vibration,Low,Y,10
ALM0000245,ELV00404,2025-10-07 06:51:34,E505,Power Fault,High,Y,61
ALM0000246,ELV00110,2025-08-14 07:28:39,E404,Excess Vibration,Medium,Y,14
ALM0000247,ELV00097,2025-08-08 10:29:03,E101,Door Fault,Medium,Y,11
ALM0000248,ELV00397,2025-02-03 21:23:16,E808,Speed Deviation,Medium,Y,20
ALM0000249,ELV00446,2026-02-15 11:57:41,E202,Overload,Low,Y,17
ALM0000250,ELV00424,2026-03-29 15:53:19,E505,Power Fault,High,Y,15
ALM0000251,ELV00291,2026-01-30 13:25:04,E303,Motor Overheat,High,Y,126
ALM0000252,ELV00175,2026-01-22 08:08:56,E303,Motor Overheat,High,Y,19
ALM0000253,ELV00231,2026-06-30 02:15:13,E303,Motor Overheat,High,Y,103
ALM0000254,ELV00247,2025-02-06 06:11:28,E808,Speed Deviation,High,Y,41
ALM0000255,ELV00173,2025-09-06 15:22:21,E303,Motor Overheat,Medium,Y,17
ALM0000256,ELV00090,2025-06-02 23:44:56,E606,Brake Fault,Low,Y,12
ALM0000257,ELV00447,2026-02-14 20:01:37,E303,Motor Overheat,Low,Y,8
ALM0000258,ELV00038,2026-02-25 07:50:33,E303,Motor Overheat,High,Y,195
ALM0000259,ELV00160,2025-08-09 18:10:23,E101,Door Fault,Low,Y,20
ALM0000260,ELV00294,2026-01-03 11:16:50,E909,Leveling Error,Low,Y,20
ALM0000261,ELV00112,2025-08-03 13:36:52,E707,Communication Loss,Low,Y,16
ALM0000262,ELV00011,2025-12-30 14:11:38,E404,Excess Vibration,Low,Y,23
ALM0000263,ELV00155,2025-09-17 12:10:05,E707,Communication Loss,Low,Y,18
ALM0000264,ELV00296,2025-01-14 13:03:45,E404,Excess Vibration,Medium,Y,11
ALM0000265,ELV00053,2025-07-01 14:52:40,E101,Door Fault,Medium,Y,37
ALM0000266,ELV00413,2026-06-11 06:39:27,E202,Overload,High,Y,15
ALM0000267,ELV00288,2025-07-01 00:25:00,E505,Power Fault,Low,Y,13
ALM0000268,ELV00301,2025-01-23 19:06:09,E202,Overload,High,N,
ALM0000269,ELV00276,2026-03-30 03:21:18,E505,Power Fault,Low,Y,12
ALM0000270,ELV00242,2025-02-06 23:33:17,E303,Motor Overheat,Medium,Y,29
ALM0000271,ELV00113,2025-02-24 10:06:15,E404,Excess Vibration,Medium,Y,18
ALM0000272,ELV00331,2025-12-18 13:06:02,E505,Power Fault,Critical,Y,68
ALM0000273,ELV00328,2026-03-18 07:19:05,E808,Speed Deviation,Low,Y,20
ALM0000274,ELV00092,2025-05-18 20:20:14,E404,Excess Vibration,Medium,Y,13
ALM0000275,ELV00132,2026-03-10 11:06:04,E404,Excess Vibration,High,Y,29
ALM0000276,ELV00499,2026-03-26 08:57:27,E303,Motor Overheat,Medium,Y,19
ALM0000277,ELV00461,2025-09-11 20:16:50,E202,Overload,Low,Y,44
ALM0000278,ELV00173,2026-04-04 05:42:19,E909,Leveling Error,Critical,Y,15
ALM0000279,ELV00225,2026-01-20 00:16:05,E909,Leveling Error,Low,Y,10
ALM0000280,ELV00133,2025-01-11 17:36:16,E303,Motor Overheat,Medium,Y,18
ALM0000281,ELV00380,2025-10-23 13:26:22,E707,Communication Loss,High,Y,49
ALM0000282,ELV00292,2025-10-17 22:48:16,E707,Communication Loss,Low,Y,48
ALM0000283,ELV00341,2025-10-13 03:06:16,E505,Power Fault,Critical,Y,80
ALM0000284,ELV00050,2026-03-26 17:07:39,E505,Power Fault,High,Y,15
ALM0000285,ELV00359,2026-01-29 17:49:59,E101,Door Fault,Medium,Y,10
ALM0000286,ELV00218,2025-12-23 23:05:54,E909,Leveling Error,Medium,Y,5
ALM0000287,ELV00319,2025-06-15 22:27:45,E202,Overload,Low,Y,16
ALM0000288,ELV00293,2025-05-28 00:25:44,E606,Brake Fault,Low,Y,13
ALM0000289,ELV00311,2026-06-16 17:03:40,E101,Door Fault,Low,Y,18
ALM0000290,ELV00435,2026-06-26 22:55:20,E909,Leveling Error,Low,Y,9
ALM0000291,ELV00080,2026-05-07 04:52:13,E505,Power Fault,High,Y,99
ALM0000292,ELV00496,2025-09-28 07:39:01,E606,Brake Fault,Medium,Y,14
ALM0000293,ELV00245,2025-01-13 13:01:57,E707,Communication Loss,High,Y,57
ALM0000294,ELV00157,2025-05-04 15:27:46,E707,Communication Loss,High,Y,71
ALM0000295,ELV00335,2025-07-25 08:29:09,E303,Motor Overheat,Low,Y,31
ALM0000296,ELV00204,2026-04-03 11:26:59,E404,Excess Vibration,Medium,Y,40
ALM0000297,ELV00357,2025-12-02 10:09:15,E101,Door Fault,Low,Y,23
ALM0000298,ELV00107,2025-01-17 04:37:37,E202,Overload,Medium,Y,22
ALM0000299,ELV00463,2025-09-07 00:40:04,E606,Brake Fault,Low,Y,20
ALM0000300,ELV00185,2025-01-18 10:44:12,E202,Overload,Low,Y,24
ALM0000301,ELV00457,2026-05-08 02:19:25,E505,Power Fault,High,Y,42
ALM0000302,ELV00418,2025-07-07 08:26:38,E606,Brake Fault,Low,Y,10
ALM0000303,ELV00187,2026-03-05 00:52:04,E101,Door Fault,Medium,Y,26
ALM0000304,ELV00181,2025-10-12 22:35:57,E606,Brake Fault,Low,Y,9
ALM0000305,ELV00286,2025-03-09 18:22:51,E303,Motor Overheat,Medium,Y,28
ALM0000306,ELV00448,2025-09-12 19:31:08,E808,Speed Deviation,Critical,Y,31
ALM0000307,ELV00062,2026-05-13 16:02:58,E606,Brake Fault,Low,Y,26
ALM0000308,ELV00179,2025-12-22 17:08:58,E707,Communication Loss,Low,Y,17
ALM0000309,ELV00008,2025-02-22 05:10:30,E808,Speed Deviation,Medium,Y,54
ALM0000310,ELV00063,2026-02-11 03:38:05,E808,Speed Deviation,Low,Y,19
ALM0000311,ELV00141,2025-06-30 15:32:00,E101,Door Fault,Low,Y,20
ALM0000312,ELV00382,2026-05-13 05:53:31,E808,Speed Deviation,Low,Y,15
ALM0000313,ELV00452,2025-04-18 09:22:01,E202,Overload,Low,Y,6
ALM0000314,ELV00201,2025-05-07 14:50:34,E707,Communication Loss,Low,Y,22
ALM0000315,ELV00249,2025-07-15 08:58:03,E404,Excess Vibration,Critical,Y,42
ALM0000316,ELV00025,2025-07-13 07:59:58,E808,Speed Deviation,High,Y,19
