maintenance_part_id,maintenance_id,material_id,quantity_used,unit_cost,total_cost
MPT00000376,MNT0018103,MAT00234,1,282.17,282.17
MPT00000377,MNT0005148,MAT00056,1,72.29,72.29
MPT00000378,MNT0005148,MAT00061,2,291.93,583.86
MPT00000379,MNT0025754,MAT00234,1,290.19,290.19
MPT00000380,MNT0021631,MAT00242,1,184.13,184.13
MPT00000381,MNT0007336,MAT00215,1,142.66,142.66
MPT00000382,MNT0007336,MAT00204,2,1347.7,2695.4
MPT00000383,MNT0003003,MAT00134,1,63.65,63.65
MPT00000384,MNT0008624,MAT00079,2,726.87,1453.74
MPT00000385,MNT0008624,MAT00079,1,709.55,709.55
MPT00000386,MNT0010736,MAT00231,1,400.5,400.5
MPT00000387,MNT0009259,MAT00119,1,143.37,143.37
MPT00000388,MNT0018673,MAT00247,1,773.14,773.14
MPT00000389,MNT0018673,MAT00240,1,605.82,605.82
MPT00000390,MNT0004190,MAT00221,2,146.08,292.16
MPT00000391,MNT0022128,MAT00231,1,382.37,382.37
MPT00000392,MNT0005830,MAT00078,1,99.71,99.71
MPT00000393,MNT0005830,MAT00095,1,33.47,33.47
MPT00000394,MNT0005830,MAT00099,1,832.12,832.12
MPT00000395,MNT0005830,MAT00087,1,357.8,357.8
MPT00000396,MNT0021161,MAT00226,1,50.01,50.01
MPT00000397,MNT0004812,MAT00029,1,192.04,192.04
MPT00000398,MNT0004812,MAT00026,2,533.06,1066.12
MPT00000399,MNT0001507,MAT00112,1,505.46,505.46
MPT00000400,MNT0001507,MAT00109,2,459.44,918.88
MPT00000401,MNT0001507,MAT00103,1,94.44,94.44
MPT00000402,MNT0001507,MAT00110,3,551.42,1654.26
MPT00000403,MNT0014328,MAT00238,2,156.4,312.8
MPT00000404,MNT0026803,MAT00248,1,568.07,568.07
MPT00000405,MNT0026803,MAT00226,1,48.94,48.94
MPT00000406,MNT0003983,MAT00141,2,47.31,94.62
MPT00000407,MNT0003983,MAT00136,1,165.76,165.76
MPT00000408,MNT0003983,MAT00130,1,81.04,81.04
MPT00000409,MNT0023410,MAT00243,2,1379.66,2759.32
MPT00000410,MNT0023410,MAT00235,1,271.65,271.65
MPT00000411,MNT0004076,MAT00110,1,535.43,535.43
MPT00000412,MNT0004076,MAT00101,1,52.82,52.82
MPT00000413,MNT0000401,MAT00002,1,110.29,110.29
MPT00000414,MNT0021658,MAT00239,1,662.26,662.26
MPT00000415,MNT0001159,MAT00221,3,163.63,490.89
MPT00000416,MNT0005585,MAT00217,2,146.25,292.5
MPT00000417,MNT0013614,MAT00230,5,401.58,2007.9
MPT00000418,MNT0013614,MAT00226,1,53.5,53.5
MPT00000419,MNT0013614,MAT00231,3,429.92,1289.76
MPT00000420,MNT0028057,MAT00250,1,3119.55,3119.55
MPT00000421,MNT0005972,MAT00076,1,81.81,81.81
MPT00000422,MNT0005972,MAT00079,1,744.42,744.42
MPT00000423,MNT0011417,MAT00231,1,442.81,442.81
MPT00000424,MNT0015966,MAT00235,1,312.86,312.86
MPT00000425,MNT0015966,MAT00246,2,323.35,646.7
MPT00000426,MNT0011505,MAT00245,1,99.0,99.0
MPT00000427,MNT0011505,MAT00237,2,984.75,1969.5
MPT00000428,MNT0024982,MAT00239,1,744.35,744.35
MPT00000429,MNT0029454,MAT00229,1,505.63,505.63
MPT00000430,MNT0029454,MAT00243,1,1300.84,1300.84
MPT00000431,MNT0009443,MAT00136,1,148.67,148.67
MPT00000432,MNT0009443,MAT00134,1,63.27,63.27
MPT00000433,MNT0004433,MAT00095,1,34.0,34.0
MPT00000434,MNT0004433,MAT00076,1,85.31,85.31
MPT00000435,MNT0017089,MAT00232,2,78.21,156.42
MPT00000436,MNT0017089,MAT00230,1,426.17,426.17
MPT00000437,MNT0006516,MAT00005,1,308.43,308.43
MPT00000438,MNT0006516,MAT00012,1,459.87,459.87
MPT00000439,MNT0000171,MAT00148,1,82.22,82.22
MPT00000440,MNT0004159,MAT00121,2,1862.95,3725.9
MPT00000441,MNT0004159,MAT00113,3,1496.05,4488.15
MPT00000442,MNT0005960,MAT00210,1,389.76,389.76
MPT00000443,MNT0001511,MAT00102,1,296.56,296.56
MPT00000444,MNT0001511,MAT00110,1,491.37,491.37
MPT00000445,MNT0021051,MAT00244,1,177.48,177.48
MPT00000446,MNT0008766,MAT00037,1,389.81,389.81
MPT00000447,MNT0008766,MAT00032,1,67.5,67.5
MPT00000448,MNT0014369,MAT00241,2,172.61,345.22
MPT00000449,MNT0014369,MAT00242,1,196.06,196.06
MPT00000450,MNT0000587,MAT00112,1,583.94,583.94
MPT00000451,MNT0000587,MAT00102,1,245.43,245.43
MPT00000452,MNT0011235,MAT00232,1,65.21,65.21
MPT00000453,MNT0026479,MAT00236,3,203.67,611.01
MPT00000454,MNT0026479,MAT00228,2,76.36,152.72
MPT00000455,MNT0019700,MAT00250,4,2716.49,10865.96
MPT00000456,MNT0016486,MAT00246,1,294.75,294.75
MPT00000457,MNT0016486,MAT00250,2,2793.39,5586.78
MPT00000458,MNT0016486,MAT00227,1,251.82,251.82
MPT00000459,MNT0016486,MAT00227,1,238.84,238.84
MPT00000460,MNT0012489,MAT00243,1,1167.79,1167.79
