inspection_id,production_order_id,product_id,inspection_date,inspected_quantity,defect_quantity,defect_rate,quality_status,defect_type
QI0000094,PRD0000094,MZ-FG-R100,2025-01-08,19,0,0.0,Pass,None
QI0000095,PRD0000095,MZ-FG-R300,2026-05-29,77,2,0.026,Pass,Weld Defect
QI0000096,PRD0000096,MZ-FG-E108,2026-03-25,41,1,0.0244,Pass,Electrical Fault
QI0000097,PRD0000097,MZ-FG-M550,2025-03-07,19,2,0.1053,Fail,Assembly Misalignment
QI0000098,PRD0000098,M-01,2025-01-06,52,7,0.1346,Fail,Material Crack
QI0000099,PRD0000099,MZ-FG-C990,2025-07-03,71,14,0.1972,Fail,Wiring Fault
QI0000100,PRD0000100,MZ-FG-R200,2026-01-09,9,3,0.3333,Fail,Wiring Fault
QI0000101,PRD0000101,MZ-TG-SR01,2025-02-21,146,14,0.0959,Conditional Pass,Electrical Fault
QI0000102,PRD0000102,MZ-TG-Y240,2025-04-21,56,3,0.0536,Conditional Pass,Dimensional Deviation
QI0000103,PRD0000103,MZ-TG-Y200,2026-04-22,69,3,0.0435,Conditional Pass,Dimensional Deviation
QI0000104,PRD0000104,MZ-FG-C21,2025-03-12,35,0,0.0,Pass,None
QI0000105,PRD0000105,MZ-TG-A26,2025-03-23,83,3,0.0361,Conditional Pass,Paint Inconsistency
QI0000106,PRD0000106,MZ-FG-M550,2026-04-21,113,1,0.0088,Pass,Paint Inconsistency
QI0000107,PRD0000107,FG226,2025-06-14,26,1,0.0385,Conditional Pass,Paint Inconsistency
QI0000108,PRD0000108,MZ-FG-M500,2026-06-08,99,5,0.0505,Conditional Pass,Wiring Fault
QI0000109,PRD0000109,MZ-TG-A27,2025-04-07,33,2,0.0606,Conditional Pass,Electrical Fault
QI0000110,PRD0000110,MZ-FG-R300,2025-03-27,33,2,0.0606,Conditional Pass,Paint Inconsistency
QI0000111,PRD0000111,CM-FL-V00,2026-04-04,30,1,0.0333,Conditional Pass,Weld Defect
QI0000112,PRD0000112,MZ-FG-M525,2025-01-29,63,7,0.1111,Fail,Electrical Fault
QI0000113,PRD0000113,MZ-FG-M525,2025-02-17,80,5,0.0625,Conditional Pass,Weld Defect
QI0000114,PRD0000114,MZ-FG-C900,2026-02-10,112,2,0.0179,Pass,Weld Defect
QI0000115,PRD0000115,MZ-FG-E108,2026-05-29,66,4,0.0606,Conditional Pass,Wiring Fault
QI0000116,PRD0000116,MZ-FG-R200,2026-06-03,59,1,0.0169,Pass,Paint Inconsistency
QI0000117,PRD0000117,MZ-TG-Y200,2026-06-26,58,3,0.0517,Conditional Pass,Electrical Fault
QI0000118,PRD0000118,MZ-FG-C20,2025-11-28,33,1,0.0303,Conditional Pass,Wiring Fault
QI0000119,PRD0000119,MZ-FG-P010,2026-06-13,7,1,0.1429,Fail,Paint Inconsistency
QI0000120,PRD0000120,MZ-TG-Y120,2026-01-05,174,12,0.069,Conditional Pass,Surface Scratch
QI0000121,PRD0000121,MZ-FG-E101,2026-02-20,44,3,0.0682,Conditional Pass,Paint Inconsistency
QI0000122,PRD0000122,MZ-FG-E108,2025-05-30,192,12,0.0625,Conditional Pass,Wiring Fault
QI0000123,PRD0000123,M-01,2026-05-23,17,6,0.3529,Fail,Paint Inconsistency
QI0000124,PRD0000124,MZ-FG-P010,2025-11-10,40,7,0.175,Fail,Wiring Fault
QI0000125,PRD0000125,MZ-FG-E16,2025-11-14,20,2,0.1,Fail,Electrical Fault
QI0000126,PRD0000126,MZ-FG-C20,2025-07-14,49,5,0.102,Fail,Material Crack
QI0000127,PRD0000127,MZ-TG-E202,2025-05-20,96,2,0.0208,Pass,Dimensional Deviation
QI0000128,PRD0000128,MZ-FG-M500,2025-11-05,62,1,0.0161,Pass,Material Crack
QI0000129,PRD0000129,MZ-FG-C20,2025-11-05,21,2,0.0952,Conditional Pass,Electrical Fault
QI0000130,PRD0000130,FG226,2026-05-08,97,10,0.1031,Fail,Wiring Fault
QI0000131,PRD0000131,MZ-FG-M500,2025-07-01,69,2,0.029,Pass,Assembly Misalignment
QI0000132,PRD0000132,MZ-FG-R100,2025-11-26,95,8,0.0842,Conditional Pass,Assembly Misalignment
QI0000133,PRD0000133,CM-FL-V00,2025-11-26,29,1,0.0345,Conditional Pass,Electrical Fault
QI0000134,PRD0000134,MZ-FG-P010,2026-06-22,37,2,0.0541,Conditional Pass,Dimensional Deviation
QI0000135,PRD0000135,MZ-FG-E17,2026-06-10,58,7,0.1207,Fail,Wiring Fault
QI0000136,PRD0000136,MZ-FG-E108,2025-04-10,38,6,0.1579,Fail,Weld Defect
QI0000137,PRD0000137,MZ-TG-Y200,2026-06-16,145,6,0.0414,Conditional Pass,Paint Inconsistency
QI0000138,PRD0000138,MZ-FG-C900,2025-10-07,57,1,0.0175,Pass,Surface Scratch
QI0000139,PRD0000139,MZ-FG-M525,2026-06-24,71,9,0.1268,Fail,Surface Scratch
QI0000140,PRD0000140,MZ-FG-C10,2025-03-03,60,5,0.0833,Conditional Pass,Assembly Misalignment
QI0000141,PRD0000141,MZ-TG-Y120,2025-04-15,45,5,0.1111,Fail,Electrical Fault
QI0000142,PRD0000142,MZ-FG-R200,2025-10-12,108,3,0.0278,Pass,Weld Defect
QI0000143,PRD0000143,MZ-TG-A27,2025-05-13,1,0,0.0,Pass,None
QI0000144,PRD0000144,M-01,2026-01-08,44,4,0.0909,Conditional Pass,Wiring Fault
QI0000145,PRD0000145,MZ-FG-C990,2025-12-11,59,2,0.0339,Conditional Pass,Assembly Misalignment
QI0000146,PRD0000146,MZ-FG-M500,2025-12-14,100,5,0.05,Conditional Pass,Material Crack
QI0000147,PRD0000147,MZ-FG-R300,2025-09-24,13,2,0.1538,Fail,Paint Inconsistency
QI0000148,PRD0000148,M1,2025-12-29,34,0,0.0,Pass,None
QI0000149,PRD0000149,M-01,2025-09-27,20,0,0.0,Pass,None
QI0000150,PRD0000150,MZ-FG-C21,2026-05-07,36,1,0.0278,Pass,Weld Defect
QI0000151,PRD0000151,MZ-TG-A25,2025-08-29,8,1,0.125,Fail,Dimensional Deviation
QI0000152,PRD0000152,FG226,2025-11-24,143,10,0.0699,Conditional Pass,Surface Scratch
QI0000153,PRD0000153,MZ-TG-SR01,2026-05-24,91,7,0.0769,Conditional Pass,Paint Inconsistency
QI0000154,PRD0000154,MZ-FG-E15,2025-06-09,139,6,0.0432,Conditional Pass,Material Crack
QI0000155,PRD0000155,MZ-FG-E15,2025-09-28,100,3,0.03,Conditional Pass,Wiring Fault
QI0000156,PRD0000156,MZ-TG-A27,2025-11-24,89,12,0.1348,Fail,Weld Defect
QI0000157,PRD0000157,MZ-FG-M550,2026-02-10,34,4,0.1176,Fail,Weld Defect
QI0000158,PRD0000158,CM-FL-V00,2025-03-15,76,2,0.0263,Pass,Weld Defect
QI0000159,PRD0000159,MZ-FG-E108,2026-01-11,74,9,0.1216,Fail,Weld Defect
QI0000160,PRD0000160,MZ-TG-Y120,2026-04-04,106,7,0.066,Conditional Pass,Material Crack
QI0000161,PRD0000161,MZ-FG-C950,2026-06-22,148,12,0.0811,Conditional Pass,Material Crack
QI0000162,PRD0000162,MZ-FG-R300,2026-02-15,49,7,0.1429,Fail,Surface Scratch
QI0000163,PRD0000163,MZ-FG-M550,2025-11-30,62,2,0.0323,Conditional Pass,Material Crack
QI0000164,PRD0000164,MZ-FG-C900,2025-12-06,34,1,0.0294,Pass,Assembly Misalignment
QI0000165,PRD0000165,MZ-TG-E202,2025-05-22,92,5,0.0543,Conditional Pass,Dimensional Deviation
QI0000166,PRD0000166,MZ-FG-C21,2026-04-26,18,0,0.0,Pass,None
QI0000167,PRD0000167,MZ-TG-SR01,2026-05-11,50,7,0.14,Fail,Electrical Fault
QI0000168,PRD0000168,MZ-FG-R200,2025-12-20,47,1,0.0213,Pass,Surface Scratch
QI0000169,PRD0000169,MZ-FG-M550,2025-06-19,28,1,0.0357,Conditional Pass,Material Crack
QI0000170,PRD0000170,MZ-FG-E102,2025-08-05,43,2,0.0465,Conditional Pass,Wiring Fault
QI0000171,PRD0000171,MZ-FG-M525,2026-03-14,30,2,0.0667,Conditional Pass,Electrical Fault
QI0000172,PRD0000172,MZ-FG-E101,2026-01-28,62,10,0.1613,Fail,Wiring Fault
QI0000173,PRD0000173,MZ-TG-Y120,2025-11-15,379,11,0.029,Pass,Weld Defect
QI0000174,PRD0000174,CM-FL-V00,2025-06-04,52,3,0.0577,Conditional Pass,Electrical Fault
QI0000175,PRD0000175,MZ-TG-Y120,2025-09-03,55,4,0.0727,Conditional Pass,Paint Inconsistency
QI0000176,PRD0000176,MZ-FG-C990,2026-01-27,91,6,0.0659,Conditional Pass,Material Crack
QI0000177,PRD0000177,MZ-TG-Y200,2025-03-23,23,1,0.0435,Conditional Pass,Assembly Misalignment
QI0000178,PRD0000178,MZ-FG-C900,2025-09-01,53,1,0.0189,Pass,Assembly Misalignment
QI0000179,PRD0000179,MZ-TG-Y240,2026-02-27,27,3,0.1111,Fail,Paint Inconsistency
QI0000180,PRD0000180,MZ-TG-A26,2025-08-12,28,3,0.1071,Fail,Dimensional Deviation
QI0000181,PRD0000181,MZ-FG-C10,2026-06-01,72,3,0.0417,Conditional Pass,Surface Scratch
QI0000182,PRD0000182,MZ-FG-M525,2026-06-21,73,8,0.1096,Fail,Assembly Misalignment
QI0000183,PRD0000183,MZ-FG-E101,2026-04-16,105,2,0.019,Pass,Material Crack
QI0000184,PRD0000184,MZ-TG-A26,2025-06-11,89,3,0.0337,Conditional Pass,Wiring Fault
QI0000185,PRD0000185,MZ-TG-A27,2025-09-16,26,1,0.0385,Conditional Pass,Weld Defect
QI0000186,PRD0000186,MZ-FG-C21,2025-10-06,38,1,0.0263,Pass,Assembly Misalignment
QI0000187,PRD0000187,MZ-FG-E108,2025-11-30,54,0,0.0,Pass,None
QI0000188,PRD0000188,MZ-TG-Y240,2025-12-24,10,1,0.1,Fail,Electrical Fault
QI0000189,PRD0000189,M-01,2025-10-24,47,1,0.0213,Pass,Surface Scratch
QI0000190,PRD0000190,MZ-TG-Y200,2025-01-03,7,0,0.0,Pass,None
QI0000191,PRD0000191,MZ-TG-Y200,2025-01-14,31,1,0.0323,Conditional Pass,Surface Scratch
QI0000192,PRD0000192,MZ-TG-SR01,2025-08-29,39,1,0.0256,Pass,Assembly Misalignment
QI0000193,PRD0000193,MZ-FG-E102,2026-05-29,23,3,0.1304,Fail,Dimensional Deviation
QI0000194,PRD0000194,MZ-FG-C21,2025-12-25,72,1,0.0139,Pass,Surface Scratch
QI0000195,PRD0000195,MZ-FG-R100,2025-07-16,63,1,0.0159,Pass,Weld Defect
QI0000196,PRD0000196,TG11,2026-04-30,100,15,0.15,Fail,Wiring Fault
QI0000197,PRD0000197,MZ-TG-A27,2025-05-24,28,2,0.0714,Conditional Pass,Material Crack
QI0000198,PRD0000198,MZ-FG-M525,2026-04-04,184,4,0.0217,Pass,Material Crack
QI0000199,PRD0000199,M1,2025-12-17,21,4,0.1905,Fail,Surface Scratch
QI0000200,PRD0000200,TG11,2025-03-03,12,0,0.0,Pass,None
QI0000201,PRD0000201,MZ-FG-E17,2025-08-25,110,1,0.0091,Pass,Wiring Fault
QI0000202,PRD0000202,MZ-FG-C950,2025-01-07,12,0,0.0,Pass,None
QI0000203,PRD0000203,MZ-FG-M525,2026-03-02,60,1,0.0167,Pass,Wiring Fault
QI0000204,PRD0000204,MZ-TG-E202,2025-07-01,28,4,0.1429,Fail,Weld Defect
QI0000205,PRD0000205,MZ-FG-E101,2026-03-04,39,0,0.0,Pass,None
QI0000206,PRD0000206,MZ-FG-C950,2025-08-10,102,1,0.0098,Pass,Electrical Fault
QI0000207,PRD0000207,MZ-TG-A25,2025-02-19,145,4,0.0276,Pass,Assembly Misalignment
QI0000208,PRD0000208,MZ-FG-E108,2025-04-28,248,7,0.0282,Pass,Weld Defect
QI0000209,PRD0000209,M1,2025-03-24,20,2,0.1,Fail,Wiring Fault
QI0000210,PRD0000210,MZ-FG-C21,2025-10-02,62,10,0.1613,Fail,Assembly Misalignment
QI0000211,PRD0000211,MZ-TG-Y200,2025-04-15,47,5,0.1064,Fail,Dimensional Deviation
QI0000212,PRD0000212,MZ-TG-Y200,2025-04-28,60,1,0.0167,Pass,Assembly Misalignment
QI0000213,PRD0000213,MZ-FG-E103,2025-06-17,75,3,0.04,Conditional Pass,Surface Scratch
QI0000214,PRD0000214,MZ-FG-E102,2026-04-26,31,3,0.0968,Conditional Pass,Surface Scratch
QI0000215,PRD0000215,MZ-TG-A26,2025-05-04,68,1,0.0147,Pass,Electrical Fault
QI0000216,PRD0000216,MZ-FG-E108,2025-05-07,54,16,0.2963,Fail,Paint Inconsistency
QI0000217,PRD0000217,MZ-FG-C21,2025-07-10,28,1,0.0357,Conditional Pass,Assembly Misalignment
QI0000218,PRD0000218,MZ-FG-E101,2026-06-26,34,1,0.0294,Pass,Electrical Fault
QI0000219,PRD0000219,MZ-FG-M525,2025-02-19,70,1,0.0143,Pass,Electrical Fault
QI0000220,PRD0000220,MZ-FG-M550,2025-08-19,151,0,0.0,Pass,None
QI0000221,PRD0000221,MZ-FG-E103,2025-05-25,61,2,0.0328,Conditional Pass,Surface Scratch
QI0000222,PRD0000222,MZ-FG-R300,2025-02-09,27,0,0.0,Pass,None
QI0000223,PRD0000223,MZ-FG-E103,2025-12-17,7,1,0.1429,Fail,Dimensional Deviation
QI0000224,PRD0000224,MZ-FG-M525,2025-10-13,41,1,0.0244,Pass,Material Crack
QI0000225,PRD0000225,MZ-FG-E102,2026-03-04,17,0,0.0,Pass,None
QI0000226,PRD0000226,MZ-TG-E202,2025-12-08,121,13,0.1074,Fail,Weld Defect
QI0000227,PRD0000227,MZ-FG-E16,2025-03-11,6,1,0.1667,Fail,Electrical Fault
QI0000228,PRD0000228,MZ-TG-Y120,2025-05-24,13,0,0.0,Pass,None
QI0000229,PRD0000229,MZ-TG-A26,2025-06-11,71,2,0.0282,Pass,Surface Scratch
QI0000230,PRD0000230,MZ-TG-E202,2025-10-04,45,1,0.0222,Pass,Material Crack
QI0000231,PRD0000231,MZ-TG-A20,2025-09-18,47,1,0.0213,Pass,Dimensional Deviation
QI0000232,PRD0000232,MZ-FG-E102,2026-02-19,85,7,0.0824,Conditional Pass,Dimensional Deviation
QI0000233,PRD0000233,MZ-FG-E17,2025-02-07,83,3,0.0361,Conditional Pass,Surface Scratch
QI0000234,PRD0000234,MZ-TG-A26,2026-05-02,58,10,0.1724,Fail,Dimensional Deviation
QI0000235,PRD0000235,M1,2025-02-16,8,0,0.0,Pass,None
QI0000236,PRD0000236,MZ-TG-Y240,2026-02-06,94,7,0.0745,Conditional Pass,Paint Inconsistency
QI0000237,PRD0000237,MZ-TG-A26,2026-04-21,3,0,0.0,Pass,None
QI0000238,PRD0000238,MZ-FG-M550,2025-10-11,23,0,0.0,Pass,None
QI0000239,PRD0000239,TG11,2025-03-21,133,9,0.0677,Conditional Pass,Surface Scratch
QI0000240,PRD0000240,MZ-FG-E108,2025-12-19,118,1,0.0085,Pass,Weld Defect
QI0000241,PRD0000241,MZ-FG-C900,2025-10-26,42,1,0.0238,Pass,Assembly Misalignment
QI0000242,PRD0000242,MZ-TG-SR01,2025-12-01,22,0,0.0,Pass,None
QI0000243,PRD0000243,M-01,2025-11-22,42,1,0.0238,Pass,Electrical Fault
QI0000244,PRD0000244,MZ-FG-E108,2026-03-08,21,3,0.1429,Fail,Assembly Misalignment
QI0000245,PRD0000245,M1,2026-01-19,30,1,0.0333,Conditional Pass,Wiring Fault
QI0000246,PRD0000246,MZ-FG-R200,2025-07-18,163,3,0.0184,Pass,Weld Defect
QI0000247,PRD0000247,MZ-TG-A26,2026-04-13,12,2,0.1667,Fail,Weld Defect
QI0000248,PRD0000248,FG226,2025-01-04,89,4,0.0449,Conditional Pass,Surface Scratch
QI0000249,PRD0000249,MZ-TG-A25,2026-01-08,117,13,0.1111,Fail,Electrical Fault
QI0000250,PRD0000250,MZ-TG-SR01,2025-04-02,21,0,0.0,Pass,None
QI0000251,PRD0000251,MZ-FG-C10,2025-10-03,19,2,0.1053,Fail,Assembly Misalignment
QI0000252,PRD0000252,MZ-FG-C900,2025-04-29,29,2,0.069,Conditional Pass,Assembly Misalignment
QI0000253,PRD0000253,MZ-FG-C900,2025-03-16,58,1,0.0172,Pass,Assembly Misalignment
QI0000254,PRD0000254,MZ-FG-M525,2025-11-10,25,0,0.0,Pass,None
QI0000255,PRD0000255,MZ-FG-C20,2025-01-25,26,1,0.0385,Conditional Pass,Weld Defect
QI0000256,PRD0000256,MZ-FG-C10,2025-10-14,4,0,0.0,Pass,None
QI0000257,PRD0000257,MZ-FG-M525,2026-04-03,25,1,0.04,Conditional Pass,Surface Scratch
QI0000258,PRD0000258,M-01,2026-01-14,60,2,0.0333,Conditional Pass,Paint Inconsistency
QI0000259,PRD0000259,MZ-FG-C10,2025-05-30,27,1,0.037,Conditional Pass,Wiring Fault
QI0000260,PRD0000260,MZ-FG-C20,2025-08-04,30,1,0.0333,Conditional Pass,Dimensional Deviation
QI0000261,PRD0000261,MZ-FG-R200,2026-03-04,25,0,0.0,Pass,None
QI0000262,PRD0000262,MZ-FG-C900,2025-11-23,84,12,0.1429,Fail,Electrical Fault
QI0000263,PRD0000263,MZ-FG-C950,2025-04-05,57,3,0.0526,Conditional Pass,Material Crack
QI0000264,PRD0000264,MZ-TG-A27,2025-02-10,131,3,0.0229,Pass,Surface Scratch
QI0000265,PRD0000265,MZ-TG-Y120,2025-03-24,45,1,0.0222,Pass,Assembly Misalignment
QI0000266,PRD0000266,FG226,2025-01-19,2,0,0.0,Pass,None
QI0000267,PRD0000267,MZ-TG-A27,2026-02-27,49,8,0.1633,Fail,Assembly Misalignment
QI0000268,PRD0000268,MZ-FG-E16,2025-05-24,33,4,0.1212,Fail,Weld Defect
QI0000269,PRD0000269,MZ-FG-C900,2026-06-24,61,9,0.1475,Fail,Weld Defect
QI0000270,PRD0000270,MZ-TG-Y240,2025-02-20,44,1,0.0227,Pass,Wiring Fault
QI0000271,PRD0000271,MZ-FG-R200,2026-05-22,29,1,0.0345,Conditional Pass,Surface Scratch
QI0000272,PRD0000272,MZ-FG-C990,2025-05-23,66,3,0.0455,Conditional Pass,Dimensional Deviation
