maintenance_id,elevator_id,maintenance_date,maintenance_type,issue_category,issue_description,technician_id,maintenance_status,downtime_hours,repair_cost,parts_cost,total_cost
MNT0006859,ELV00159,2026-03-14,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH006,Completed,0.5,233.27,0.0,233.27
MNT0010818,ELV00433,2025-12-12,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH042,Completed,1.2,71.67,3938.5,4010.17
MNT0015530,ELV00463,2025-07-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH049,Completed,1.8,85.6,9578.91,9664.51
MNT0005314,ELV00447,2026-04-11,Emergency,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for emergency action.,TCH054,Completed,2.4,262.01,819.81,1081.82
MNT0011828,ELV00430,2025-09-09,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH075,Completed,1.6,101.35,1439.85,1541.2
MNT0009035,ELV00468,2026-06-15,Corrective,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for corrective action.,TCH020,Completed,1.7,94.86,241.98,336.84
MNT0023029,ELV00360,2026-02-06,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH001,Completed,0.8,104.33,270.83,375.16
MNT0002740,ELV00496,2026-05-23,Emergency,Speed Regulation Fault,Speed Regulation Fault detected via IoT alarm (E808); technician dispatched for emergency action.,TCH013,Completed,0.5,987.97,1652.57,2640.54
MNT0017031,ELV00163,2025-02-26,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH082,Completed,0.7,62.46,2613.6,2676.06
MNT0024723,ELV00281,2025-04-10,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH044,Completed,1.0,50.0,916.22,966.22
MNT0010635,ELV00089,2025-07-12,Emergency,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for emergency action.,TCH051,Completed,3.5,420.17,0.0,420.17
MNT0007018,ELV00094,2026-04-11,Corrective,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for corrective action.,TCH058,In Progress,1.2,84.97,105.41,190.38
MNT0004689,ELV00024,2026-05-28,Emergency,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for emergency action.,TCH009,In Progress,3.4,479.88,777.87,1257.75
MNT0014311,ELV00469,2025-06-18,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH065,Completed,1.7,50.0,994.64,1044.64
MNT0004031,ELV00293,2026-02-13,Emergency,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for emergency action.,TCH008,Completed,0.9,1481.62,456.88,1938.5
MNT0007232,ELV00176,2025-05-01,Corrective,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for corrective action.,TCH045,Completed,0.5,226.03,662.42,888.45
MNT0007239,ELV00233,2025-06-03,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH070,Completed,1.2,196.11,0.0,196.11
MNT0016350,ELV00065,2025-07-11,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH018,Completed,0.9,69.87,2194.66,2264.53
MNT0001138,ELV00191,2026-06-11,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH052,Completed,2.0,1256.69,676.93,1933.62
MNT0017893,ELV00153,2026-04-04,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH041,Scheduled,1.8,50.0,1466.08,1516.08
MNT0017892,ELV00352,2025-07-20,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH056,Completed,2.9,63.52,677.08,740.6
MNT0016936,ELV00136,2025-03-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH007,Completed,0.5,57.61,546.48,604.09
MNT0011856,ELV00248,2026-06-01,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH068,Completed,2.2,50.0,317.68,367.68
MNT0027486,ELV00005,2025-12-07,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH008,Completed,0.9,69.37,652.92,722.29
MNT0007118,ELV00172,2026-05-14,Emergency,Speed Regulation Fault,Speed Regulation Fault detected via IoT alarm (E808); technician dispatched for emergency action.,TCH034,Completed,0.5,86.93,558.36,645.29
MNT0028321,ELV00484,2025-10-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH063,Completed,1.8,63.8,1471.34,1535.14
MNT0028439,ELV00274,2025-01-23,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH098,Completed,1.5,84.86,516.45,601.31
MNT0015497,ELV00371,2026-01-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH001,Completed,0.5,85.62,262.11,347.73
MNT0025118,ELV00458,2025-09-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH031,Completed,1.9,51.48,630.81,682.29
MNT0001974,ELV00456,2026-04-17,Corrective,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for corrective action.,TCH028,Scheduled,0.6,145.23,58.04,203.27
MNT0019817,ELV00380,2026-01-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH053,Completed,1.6,51.43,187.42,238.85
MNT0019065,ELV00004,2025-02-20,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH042,Completed,1.8,50.0,1181.49,1231.49
MNT0012942,ELV00396,2025-09-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH082,Completed,1.8,78.47,814.55,893.02
MNT0014705,ELV00122,2026-04-28,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH094,Completed,1.2,76.13,296.19,372.32
MNT0014428,ELV00008,2026-02-05,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH033,Completed,0.6,58.44,1832.93,1891.37
MNT0018757,ELV00450,2026-04-25,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH063,Completed,3.3,50.65,610.14,660.79
MNT0019347,ELV00263,2025-06-12,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH081,Completed,0.5,53.44,0.0,53.44
MNT0029277,ELV00312,2026-04-04,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH001,Completed,2.5,153.62,0.0,153.62
MNT0011191,ELV00164,2026-01-29,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH068,Completed,1.7,165.51,194.57,360.08
MNT0017174,ELV00202,2026-06-23,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH077,Completed,2.4,55.19,849.63,904.82
MNT0008286,ELV00006,2026-02-14,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH097,Completed,1.1,1226.94,786.79,2013.73
MNT0003158,ELV00206,2025-12-31,Emergency,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for emergency action.,TCH092,Completed,3.9,192.89,2634.88,2827.77
MNT0022207,ELV00125,2025-08-11,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH060,Completed,2.2,71.02,2846.05,2917.07
MNT0008773,ELV00266,2026-05-27,Corrective,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for corrective action.,TCH063,Completed,3.9,754.96,1540.36,2295.32
MNT0029433,ELV00017,2025-08-26,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH039,Completed,1.7,60.72,301.17,361.89
MNT0010318,ELV00485,2025-05-21,Corrective,Car Leveling Fault,Car Leveling Fault detected via IoT alarm (E909); technician dispatched for corrective action.,TCH011,Completed,1.0,200.46,386.71,587.17
MNT0029280,ELV00410,2025-11-21,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH056,Completed,1.5,139.03,609.08,748.11
MNT0013406,ELV00030,2025-08-10,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH020,Completed,1.6,72.77,384.47,457.24
MNT0013937,ELV00333,2026-02-27,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH070,Completed,0.5,50.0,991.46,1041.46
MNT0009089,ELV00062,2025-08-21,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH015,Completed,3.2,284.44,493.47,777.91
MNT0027416,ELV00383,2025-10-15,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH002,Completed,0.9,57.91,0.0,57.91
MNT0012737,ELV00258,2025-08-23,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH081,Completed,0.5,85.87,179.16,265.03
MNT0011819,ELV00139,2026-04-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH079,Completed,1.8,57.9,276.68,334.58
MNT0027872,ELV00496,2025-07-02,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH083,Completed,1.4,61.1,660.33,721.43
MNT0023184,ELV00121,2025-03-30,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH098,Completed,1.4,66.24,786.2,852.44
MNT0021077,ELV00469,2025-02-08,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH055,Completed,1.5,63.06,996.58,1059.64
MNT0006212,ELV00244,2026-06-16,Corrective,Car Leveling Fault,Car Leveling Fault detected via IoT alarm (E909); technician dispatched for corrective action.,TCH090,Scheduled,3.6,253.4,365.16,618.56
MNT0023607,ELV00078,2025-05-06,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH064,Completed,2.4,61.96,51.04,113.0
MNT0016222,ELV00395,2025-11-30,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH058,Completed,1.9,81.05,879.53,960.58
MNT0017368,ELV00500,2026-02-08,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH071,Completed,2.1,76.64,326.71,403.35
MNT0001045,ELV00016,2025-07-07,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH040,Completed,1.4,257.6,106.98,364.58
MNT0011777,ELV00007,2025-02-09,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH037,Completed,0.7,76.72,1297.08,1373.8
MNT0010491,ELV00192,2026-01-03,Emergency,Car Leveling Fault,Car Leveling Fault detected via IoT alarm (E909); technician dispatched for emergency action.,TCH030,Completed,1.6,267.39,0.0,267.39
MNT0007539,ELV00153,2026-04-26,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH045,Completed,0.7,425.29,0.0,425.29
MNT0008215,ELV00006,2025-07-02,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH018,Completed,0.9,1123.08,705.73,1828.81
MNT0025102,ELV00194,2026-06-08,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH084,Completed,1.1,62.83,498.83,561.66
MNT0000772,ELV00156,2025-03-10,Emergency,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for emergency action.,TCH011,Completed,0.5,198.41,12683.8,12882.21
MNT0002381,ELV00105,2025-01-07,Emergency,Car Leveling Fault,Car Leveling Fault detected via IoT alarm (E909); technician dispatched for emergency action.,TCH092,Completed,4.9,677.53,378.12,1055.65
MNT0001297,ELV00361,2026-04-16,Emergency,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for emergency action.,TCH090,Completed,0.7,1323.59,107.5,1431.09
MNT0000291,ELV00131,2025-10-14,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH008,Completed,0.8,1375.84,1766.74,3142.58
MNT0003244,ELV00053,2026-01-12,Corrective,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for corrective action.,TCH072,Completed,0.5,295.08,1014.37,1309.45
MNT0020331,ELV00338,2025-09-11,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH068,Completed,1.0,81.69,911.54,993.23
MNT0011793,ELV00466,2025-04-20,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH011,Completed,1.1,96.79,198.41,295.2
MNT0004790,ELV00029,2026-05-25,Emergency,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for emergency action.,TCH010,Completed,0.6,309.61,162.85,472.46
MNT0004784,ELV00497,2025-12-07,Emergency,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for emergency action.,TCH017,Completed,3.0,1322.12,393.44,1715.56
MNT0004656,ELV00330,2025-12-29,Corrective,Car Leveling Fault,Car Leveling Fault detected via IoT alarm (E909); technician dispatched for corrective action.,TCH025,Completed,1.7,384.34,0.0,384.34
MNT0009910,ELV00271,2026-05-27,Emergency,Speed Regulation Fault,Speed Regulation Fault detected via IoT alarm (E808); technician dispatched for emergency action.,TCH002,Completed,5.5,917.65,0.0,917.65
MNT0023257,ELV00130,2025-11-23,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH001,Completed,0.5,101.29,70.76,172.05
MNT0029228,ELV00244,2026-05-24,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH095,Completed,3.3,58.5,0.0,58.5
MNT0007500,ELV00339,2025-04-29,Emergency,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for emergency action.,TCH041,Scheduled,2.2,150.13,134.15,284.28
MNT0009139,ELV00320,2026-04-20,Corrective,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for corrective action.,TCH002,Completed,5.0,248.1,649.68,897.78
MNT0024397,ELV00411,2025-08-01,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH058,Completed,1.6,63.22,884.07,947.29
MNT0029630,ELV00026,2025-02-22,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH007,Completed,1.6,165.68,0.0,165.68
MNT0013191,ELV00287,2026-04-26,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH040,Completed,1.3,78.94,607.22,686.16
MNT0025406,ELV00500,2026-01-03,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH076,Completed,1.9,74.88,620.94,695.82
MNT0027990,ELV00161,2026-02-03,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH086,Completed,1.4,73.62,1945.18,2018.8
MNT0019710,ELV00087,2025-02-22,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH071,Scheduled,1.7,60.81,0.0,60.81
MNT0008686,ELV00009,2025-09-25,Emergency,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for emergency action.,TCH071,Completed,2.4,307.08,475.6,782.68
MNT0002844,ELV00470,2025-03-27,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH027,Completed,1.2,260.22,780.02,1040.24
MNT0019408,ELV00073,2026-02-08,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH099,Completed,1.4,108.2,1385.49,1493.69
MNT0028934,ELV00479,2025-03-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH056,Completed,1.2,126.44,0.0,126.44
MNT0014654,ELV00248,2026-04-30,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH068,Completed,0.7,66.0,435.33,501.33
MNT0016105,ELV00024,2026-04-25,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH023,Completed,1.5,85.6,891.19,976.79
MNT0016066,ELV00314,2025-09-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH006,Completed,1.7,100.76,1787.63,1888.39
MNT0017433,ELV00077,2025-08-19,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH023,Scheduled,1.3,105.52,839.56,945.08
MNT0023040,ELV00500,2026-03-27,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH071,Completed,1.5,149.6,0.0,149.6
MNT0025564,ELV00461,2026-03-24,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH093,Completed,2.3,61.17,851.24,912.41
MNT0018302,ELV00228,2026-04-16,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH069,Completed,1.8,50.0,160.35,210.35
MNT0009080,ELV00067,2026-05-17,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH084,Completed,0.8,156.6,5933.54,6090.14
MNT0024031,ELV00006,2025-11-13,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH087,Completed,2.0,88.71,78.53,167.24
MNT0010148,ELV00186,2025-02-04,Corrective,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for corrective action.,TCH040,Completed,0.5,225.48,615.31,840.79
MNT0006035,ELV00141,2026-02-10,Corrective,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for corrective action.,TCH008,Completed,1.0,253.22,1054.72,1307.94
MNT0007033,ELV00383,2025-09-28,Corrective,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for corrective action.,TCH066,Completed,0.9,255.8,2474.32,2730.12
MNT0008584,ELV00286,2026-04-11,Emergency,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for emergency action.,TCH010,Completed,1.0,856.58,3171.73,4028.31
MNT0023797,ELV00152,2025-09-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH007,Completed,1.1,101.09,0.0,101.09
MNT0002292,ELV00124,2026-06-15,Corrective,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for corrective action.,TCH069,In Progress,0.5,1835.81,1000.21,2836.02
MNT0028992,ELV00445,2026-05-22,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH008,Completed,1.8,76.64,4005.8,4082.44
MNT0023567,ELV00343,2025-04-10,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH045,Completed,1.7,122.43,3117.14,3239.57
MNT0014782,ELV00427,2025-07-06,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH050,Scheduled,1.3,101.35,1309.07,1410.42
MNT0028725,ELV00050,2025-05-25,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH069,Completed,1.7,71.37,641.56,712.93
MNT0016355,ELV00350,2026-02-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH098,Completed,1.3,93.14,155.2,248.34
MNT0018944,ELV00225,2026-06-21,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH076,Completed,1.2,58.14,0.0,58.14
MNT0006423,ELV00269,2026-05-11,Corrective,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for corrective action.,TCH018,Completed,1.4,409.17,1562.83,1972.0
MNT0020527,ELV00248,2026-01-31,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH025,Completed,1.4,59.98,410.22,470.2
MNT0024662,ELV00223,2025-01-13,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH074,Completed,2.4,117.78,393.55,511.33
MNT0020984,ELV00224,2025-04-09,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH080,Completed,1.4,60.24,969.27,1029.51
MNT0000568,ELV00251,2025-11-13,Corrective,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for corrective action.,TCH085,Completed,1.5,171.24,1195.11,1366.35
MNT0021954,ELV00232,2025-05-03,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH034,Completed,1.0,69.66,3165.1,3234.76
MNT0025243,ELV00137,2025-09-10,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH024,Completed,1.1,127.97,1400.17,1528.14
MNT0002214,ELV00400,2026-06-20,Corrective,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for corrective action.,TCH027,Completed,0.6,322.69,0.0,322.69
MNT0015380,ELV00444,2026-06-18,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH034,Completed,1.1,71.55,0.0,71.55
MNT0017024,ELV00183,2026-02-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH100,Completed,2.1,55.12,669.58,724.7
MNT0007222,ELV00067,2025-06-12,Emergency,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for emergency action.,TCH052,Completed,7.1,1064.3,6136.44,7200.74
MNT0003458,ELV00443,2025-11-11,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH100,Completed,1.8,1021.32,0.0,1021.32
MNT0015369,ELV00325,2025-02-18,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH014,Completed,2.7,51.73,871.9,923.63
MNT0024923,ELV00483,2025-05-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH010,Completed,1.0,50.0,0.0,50.0
MNT0029109,ELV00337,2025-11-22,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH094,Completed,1.8,70.44,593.64,664.08
MNT0018488,ELV00006,2025-11-13,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH087,Completed,0.9,63.88,163.7,227.58
MNT0024182,ELV00041,2025-08-29,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH057,Completed,1.3,71.45,196.83,268.28
MNT0004990,ELV00013,2025-10-24,Corrective,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for corrective action.,TCH048,Completed,0.5,340.42,537.33,877.75
MNT0026001,ELV00336,2025-11-10,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH044,Completed,0.9,69.3,1853.95,1923.25
MNT0027194,ELV00010,2025-10-26,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH043,Completed,1.4,58.72,801.51,860.23
MNT0010570,ELV00304,2025-12-24,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH077,Completed,1.7,508.0,117.48,625.48
MNT0024754,ELV00451,2025-05-08,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH094,Completed,1.3,91.33,308.81,400.14
MNT0016654,ELV00244,2026-03-06,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH095,Completed,1.7,142.71,270.88,413.59
MNT0019323,ELV00260,2025-01-08,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH034,Completed,1.2,67.52,124.92,192.44
MNT0007734,ELV00133,2025-02-08,Corrective,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for corrective action.,TCH071,Completed,0.5,187.35,1072.47,1259.82
